Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
Kinesin motor domain (IPR001752)	2.7	3e-05	29	59	NIOBTv3_g00534.t1,NIOBTv3_g02531.t1,NIOBTv3_g04626.t1,NIOBTv3_g06119.t1,NIOBTv3_g06226.t1,NIOBTv3_g07603.t1,NIOBTv3_g07948.t1,NIOBTv3_g09592.t1,NIOBTv3_g09593.t1,NIOBTv3_g09951.t1,NIOBTv3_g11568.t1,NIOBTv3_g13269.t1,NIOBTv3_g15003.t1,NIOBTv3_g17840.t1,NIOBTv3_g18582.t1,NIOBTv3_g23895.t1,NIOBTv3_g23896.t1,NIOBTv3_g24269.t1,NIOBTv3_g25215.t1,NIOBTv3_g26822.t1,NIOBTv3_g26885.t1,NIOBTv3_g29477.t1,NIOBTv3_g30171.t1,NIOBTv3_g31421.t1,NIOBTv3_g33743.t1,NIOBTv3_g35748.t1,NIOBTv3_g38666.t1,NIOBTv3_g41140.t1,NIOBTv3_g41961.t1
Regulator of chromosome condensation, RCC1 (IPR000408)	2.6	9e-02	11	23	NIOBTv3_g03792.t1,NIOBTv3_g06745.t1,NIOBTv3_g07251.t1,NIOBTv3_g07430.t1,NIOBTv3_g11194.t1,NIOBTv3_g14699.t1,NIOBTv3_g22336.t1,NIOBTv3_g26061.t1,NIOBTv3_g33420.t1,NIOBTv3_g35982.t1,NIOBTv3_g39411.t1
DEAD/DEAH box helicase domain (IPR011545)	2.6	7e-07	40	85	NIOBTv3_g02380.t1,NIOBTv3_g02539.t1,NIOBTv3_g05706.t1,NIOBTv3_g07149.t1,NIOBTv3_g09612.t1,NIOBTv3_g09660.t1,NIOBTv3_g10022.t1,NIOBTv3_g11921.t1,NIOBTv3_g13370.t1,NIOBTv3_g15044.t1,NIOBTv3_g15190.t1,NIOBTv3_g15746.t1,NIOBTv3_g16070.t1,NIOBTv3_g16214.t1,NIOBTv3_g16477.t1,NIOBTv3_g16729.t1,NIOBTv3_g17041.t1,NIOBTv3_g17239.t1,NIOBTv3_g18496.t1,NIOBTv3_g18498.t1,NIOBTv3_g19466.t1,NIOBTv3_g20362.t1,NIOBTv3_g21423.t1,NIOBTv3_g24321.t1,NIOBTv3_g24860.t1,NIOBTv3_g25923.t1,NIOBTv3_g28435.t1,NIOBTv3_g28608.t1,NIOBTv3_g31598.t1,NIOBTv3_g31684.t1,NIOBTv3_g31936.t1,NIOBTv3_g35575.t1,NIOBTv3_g36804.t1,NIOBTv3_g36920.t1,NIOBTv3_g38215.t1,NIOBTv3_g38763.t1,NIOBTv3_g39255.t1,NIOBTv3_g41176.t1,NIOBTv3_g59316.t1,NIOBTv3_g59540.t1
SET domain (IPR001214)	2.6	4e-03	20	43	NIOBTv3_g03110.t1,NIOBTv3_g09648.t1,NIOBTv3_g09856.t1,NIOBTv3_g12488.t1,NIOBTv3_g12660.t1,NIOBTv3_g15188.t1,NIOBTv3_g25113.t1,NIOBTv3_g25620.t1,NIOBTv3_g26045.t1,NIOBTv3_g26366.t1,NIOBTv3_g27423.t1,NIOBTv3_g28487.t1,NIOBTv3_g30559.t1,NIOBTv3_g33560.t1,NIOBTv3_g35312.t1,NIOBTv3_g35629.t1,NIOBTv3_g35659.t1,NIOBTv3_g38149.t1,NIOBTv3_g40399.t1,NIOBTv3_g41973.t1
GTP binding domain (IPR006073)	2.6	6e-02	13	28	NIOBTv3_g00462.t1,NIOBTv3_g04638.t1,NIOBTv3_g05864.t1,NIOBTv3_g07592.t1,NIOBTv3_g11498.t1,NIOBTv3_g21317.t1,NIOBTv3_g21644.t1,NIOBTv3_g22292.t1,NIOBTv3_g26202.t1,NIOBTv3_g26859.t1,NIOBTv3_g34990.t1,NIOBTv3_g36676.t1,NIOBTv3_g37532.t1
Pentatricopeptide repeat (IPR002885)	2.5	5e-46	239	517	NIOBTv3_g00037.t1,NIOBTv3_g00146.t1,NIOBTv3_g00188.t1,NIOBTv3_g00220.t1,NIOBTv3_g00225.t1,NIOBTv3_g00412.t1,NIOBTv3_g00597.t1,NIOBTv3_g00935.t1,NIOBTv3_g00959.t1,NIOBTv3_g01280.t1,NIOBTv3_g01319.t1,NIOBTv3_g01472.t1,NIOBTv3_g01728.t1,NIOBTv3_g01797.t1,NIOBTv3_g01864.t1,NIOBTv3_g01929.t1,NIOBTv3_g02038.t1,NIOBTv3_g02702.t1,NIOBTv3_g02828.t1,NIOBTv3_g03036.t1,NIOBTv3_g03278.t1,NIOBTv3_g03479.t1,NIOBTv3_g03754.t1,NIOBTv3_g03895.t1,NIOBTv3_g04195.t1,NIOBTv3_g04376.t1,NIOBTv3_g04510.t1,NIOBTv3_g04536.t1,NIOBTv3_g04659.t1,NIOBTv3_g05572.t1,NIOBTv3_g05812.t1,NIOBTv3_g05848.t1,NIOBTv3_g06398.t1,NIOBTv3_g06548.t1,NIOBTv3_g06553.t1,NIOBTv3_g06832.t1,NIOBTv3_g07084.t1,NIOBTv3_g07160.t1,NIOBTv3_g07208.t1,NIOBTv3_g07353.t1,NIOBTv3_g07368.t1,NIOBTv3_g07484.t1,NIOBTv3_g07516.t1,NIOBTv3_g07649.t1,NIOBTv3_g07904.t1,NIOBTv3_g08006.t1,NIOBTv3_g08090.t1,NIOBTv3_g08183.t1,NIOBTv3_g08196.t1,NIOBTv3_g08358.t1,NIOBTv3_g08406.t1,NIOBTv3_g08502.t1,NIOBTv3_g09100.t1,NIOBTv3_g09184.t1,NIOBTv3_g09581.t1,NIOBTv3_g09610.t1,NIOBTv3_g09611.t1,NIOBTv3_g09620.t1,NIOBTv3_g09658.t1,NIOBTv3_g09770.t1,NIOBTv3_g09833.t1,NIOBTv3_g10388.t1,NIOBTv3_g11025.t1,NIOBTv3_g11081.t1,NIOBTv3_g11223.t1,NIOBTv3_g11363.t1,NIOBTv3_g11391.t1,NIOBTv3_g11419.t1,NIOBTv3_g11631.t1,NIOBTv3_g11933.t1,NIOBTv3_g12194.t1,NIOBTv3_g12404.t1,NIOBTv3_g12702.t1,NIOBTv3_g12774.t1,NIOBTv3_g13181.t1,NIOBTv3_g13316.t1,NIOBTv3_g13329.t1,NIOBTv3_g13591.t1,NIOBTv3_g13653.t1,NIOBTv3_g13707.t1,NIOBTv3_g14117.t1,NIOBTv3_g14270.t1,NIOBTv3_g14429.t1,NIOBTv3_g14690.t1,NIOBTv3_g14809.t1,NIOBTv3_g15295.t1,NIOBTv3_g15316.t1,NIOBTv3_g15360.t1,NIOBTv3_g15629.t1,NIOBTv3_g15766.t1,NIOBTv3_g15831.t1,NIOBTv3_g16140.t1,NIOBTv3_g16361.t1,NIOBTv3_g16877.t1,NIOBTv3_g17408.t1,NIOBTv3_g17624.t1,NIOBTv3_g17786.t1,NIOBTv3_g17807.t1,NIOBTv3_g17808.t1,NIOBTv3_g17943.t1,NIOBTv3_g18032.t1,NIOBTv3_g18082.t1,NIOBTv3_g18138.t1,NIOBTv3_g18167.t1,NIOBTv3_g18312.t1,NIOBTv3_g19252.t1,NIOBTv3_g19267.t1,NIOBTv3_g19417.t1,NIOBTv3_g19426.t1,NIOBTv3_g19475.t1,NIOBTv3_g19761.t1,NIOBTv3_g19769.t1,NIOBTv3_g19939.t1,NIOBTv3_g20076.t1,NIOBTv3_g20127.t1,NIOBTv3_g20706.t1,NIOBTv3_g20793.t1,NIOBTv3_g20853.t1,NIOBTv3_g20881.t1,NIOBTv3_g21200.t1,NIOBTv3_g21404.t1,NIOBTv3_g21718.t1,NIOBTv3_g21806.t1,NIOBTv3_g22000.t1,NIOBTv3_g22033.t1,NIOBTv3_g22181.t1,NIOBTv3_g22297.t1,NIOBTv3_g22742.t1,NIOBTv3_g22853.t1,NIOBTv3_g22980.t1,NIOBTv3_g23026.t1,NIOBTv3_g23056.t1,NIOBTv3_g23200.t1,NIOBTv3_g23322.t1,NIOBTv3_g23438.t1,NIOBTv3_g23487.t1,NIOBTv3_g23488.t1,NIOBTv3_g23540.t1,NIOBTv3_g23587.t1,NIOBTv3_g23672.t1,NIOBTv3_g23999.t1,NIOBTv3_g24048.t1,NIOBTv3_g24060.t1,NIOBTv3_g24112.t1,NIOBTv3_g24501.t1,NIOBTv3_g24599.t1,NIOBTv3_g24608.t1,NIOBTv3_g24635.t1,NIOBTv3_g25094.t1,NIOBTv3_g25416.t1,NIOBTv3_g25428.t1,NIOBTv3_g25603.t1,NIOBTv3_g25802.t1,NIOBTv3_g26026.t1,NIOBTv3_g26168.t1,NIOBTv3_g26264.t1,NIOBTv3_g26280.t1,NIOBTv3_g26352.t1,NIOBTv3_g26392.t1,NIOBTv3_g26665.t1,NIOBTv3_g27971.t1,NIOBTv3_g28199.t1,NIOBTv3_g28433.t1,NIOBTv3_g28997.t1,NIOBTv3_g29268.t1,NIOBTv3_g29389.t1,NIOBTv3_g29621.t1,NIOBTv3_g29784.t1,NIOBTv3_g29858.t1,NIOBTv3_g29965.t1,NIOBTv3_g29983.t1,NIOBTv3_g30073.t1,NIOBTv3_g30361.t1,NIOBTv3_g30471.t1,NIOBTv3_g30857.t1,NIOBTv3_g30869.t1,NIOBTv3_g30932.t1,NIOBTv3_g30935.t1,NIOBTv3_g31352.t1,NIOBTv3_g31419.t1,NIOBTv3_g31465.t1,NIOBTv3_g31591.t1,NIOBTv3_g31682.t1,NIOBTv3_g31858.t1,NIOBTv3_g31957.t1,NIOBTv3_g32134.t1,NIOBTv3_g32184.t1,NIOBTv3_g32233.t1,NIOBTv3_g32385.t1,NIOBTv3_g32439.t1,NIOBTv3_g32502.t1,NIOBTv3_g32543.t1,NIOBTv3_g32596.t1,NIOBTv3_g32640.t1,NIOBTv3_g32679.t1,NIOBTv3_g32715.t1,NIOBTv3_g32801.t1,NIOBTv3_g32855.t1,NIOBTv3_g32927.t1,NIOBTv3_g33276.t1,NIOBTv3_g33331.t1,NIOBTv3_g33911.t1,NIOBTv3_g33913.t1,NIOBTv3_g34383.t1,NIOBTv3_g34601.t1,NIOBTv3_g34612.t1,NIOBTv3_g34899.t1,NIOBTv3_g34921.t1,NIOBTv3_g35109.t1,NIOBTv3_g35256.t1,NIOBTv3_g35593.t1,NIOBTv3_g35687.t1,NIOBTv3_g35709.t1,NIOBTv3_g35868.t1,NIOBTv3_g36037.t1,NIOBTv3_g36205.t1,NIOBTv3_g36265.t1,NIOBTv3_g36628.t1,NIOBTv3_g36809.t1,NIOBTv3_g36811.t1,NIOBTv3_g36837.t1,NIOBTv3_g37255.t1,NIOBTv3_g37492.t1,NIOBTv3_g38042.t1,NIOBTv3_g38361.t1,NIOBTv3_g38561.t1,NIOBTv3_g39352.t1,NIOBTv3_g39355.t1,NIOBTv3_g39688.t1,NIOBTv3_g39908.t1,NIOBTv3_g40821.t1,NIOBTv3_g41021.t1,NIOBTv3_g41136.t1,NIOBTv3_g41434.t1,NIOBTv3_g41972.t1,NIOBTv3_g48273.t1,NIOBTv3_g56124.t1,NIOBTv3_g57768.t1,NIOBTv3_g61239.t1
RNA helicase, DEAD-box type, Q motif (IPR014014)	2.5	4e-03	22	49	NIOBTv3_g02539.t1,NIOBTv3_g07149.t1,NIOBTv3_g09612.t1,NIOBTv3_g13370.t1,NIOBTv3_g15190.t1,NIOBTv3_g15746.t1,NIOBTv3_g17041.t1,NIOBTv3_g17239.t1,NIOBTv3_g18496.t1,NIOBTv3_g19466.t1,NIOBTv3_g20362.t1,NIOBTv3_g21423.t1,NIOBTv3_g24321.t1,NIOBTv3_g25923.t1,NIOBTv3_g28435.t1,NIOBTv3_g31598.t1,NIOBTv3_g31684.t1,NIOBTv3_g31936.t1,NIOBTv3_g35575.t1,NIOBTv3_g36804.t1,NIOBTv3_g59316.t1,NIOBTv3_g59540.t1
Helicase, C-terminal (IPR001650)	2.4	4e-08	54	122	NIOBTv3_g00817.t1,NIOBTv3_g00869.t1,NIOBTv3_g01233.t1,NIOBTv3_g02348.t1,NIOBTv3_g02380.t1,NIOBTv3_g02539.t1,NIOBTv3_g05069.t1,NIOBTv3_g05706.t1,NIOBTv3_g07149.t1,NIOBTv3_g09612.t1,NIOBTv3_g09660.t1,NIOBTv3_g10022.t1,NIOBTv3_g11921.t1,NIOBTv3_g13370.t1,NIOBTv3_g15044.t1,NIOBTv3_g15190.t1,NIOBTv3_g15714.t1,NIOBTv3_g15746.t1,NIOBTv3_g16070.t1,NIOBTv3_g16214.t1,NIOBTv3_g16477.t1,NIOBTv3_g16729.t1,NIOBTv3_g17041.t1,NIOBTv3_g17239.t1,NIOBTv3_g17515.t1,NIOBTv3_g18498.t1,NIOBTv3_g19466.t1,NIOBTv3_g20362.t1,NIOBTv3_g21423.t1,NIOBTv3_g24321.t1,NIOBTv3_g24860.t1,NIOBTv3_g25183.t1,NIOBTv3_g25658.t1,NIOBTv3_g25923.t1,NIOBTv3_g28435.t1,NIOBTv3_g28608.t1,NIOBTv3_g28780.t1,NIOBTv3_g31598.t1,NIOBTv3_g31684.t1,NIOBTv3_g31936.t1,NIOBTv3_g35509.t1,NIOBTv3_g35575.t1,NIOBTv3_g36630.t1,NIOBTv3_g36804.t1,NIOBTv3_g36920.t1,NIOBTv3_g37417.t1,NIOBTv3_g38215.t1,NIOBTv3_g39255.t1,NIOBTv3_g39338.t1,NIOBTv3_g40832.t1,NIOBTv3_g41176.t1,NIOBTv3_g57939.t1,NIOBTv3_g59316.t1,NIOBTv3_g59540.t1
Helicase superfamily 1/2, ATP-binding domain (IPR014001)	2.4	9e-08	54	126	NIOBTv3_g00817.t1,NIOBTv3_g00869.t1,NIOBTv3_g01233.t1,NIOBTv3_g01913.t1,NIOBTv3_g02348.t1,NIOBTv3_g02380.t1,NIOBTv3_g02539.t1,NIOBTv3_g05069.t1,NIOBTv3_g05706.t1,NIOBTv3_g07149.t1,NIOBTv3_g09612.t1,NIOBTv3_g09660.t1,NIOBTv3_g10022.t1,NIOBTv3_g11921.t1,NIOBTv3_g13370.t1,NIOBTv3_g15044.t1,NIOBTv3_g15190.t1,NIOBTv3_g15714.t1,NIOBTv3_g15746.t1,NIOBTv3_g16070.t1,NIOBTv3_g16214.t1,NIOBTv3_g16477.t1,NIOBTv3_g16729.t1,NIOBTv3_g17041.t1,NIOBTv3_g17239.t1,NIOBTv3_g17515.t1,NIOBTv3_g18498.t1,NIOBTv3_g19466.t1,NIOBTv3_g20362.t1,NIOBTv3_g21423.t1,NIOBTv3_g24321.t1,NIOBTv3_g24860.t1,NIOBTv3_g25183.t1,NIOBTv3_g25658.t1,NIOBTv3_g25923.t1,NIOBTv3_g28435.t1,NIOBTv3_g28608.t1,NIOBTv3_g28780.t1,NIOBTv3_g31598.t1,NIOBTv3_g31684.t1,NIOBTv3_g31936.t1,NIOBTv3_g35509.t1,NIOBTv3_g35575.t1,NIOBTv3_g36630.t1,NIOBTv3_g36804.t1,NIOBTv3_g36920.t1,NIOBTv3_g37417.t1,NIOBTv3_g38215.t1,NIOBTv3_g39255.t1,NIOBTv3_g40832.t1,NIOBTv3_g41176.t1,NIOBTv3_g57939.t1,NIOBTv3_g59316.t1,NIOBTv3_g59540.t1
Zinc finger, Dof-type (IPR003851)	2.2	9e-02	16	40	NIOBTv3_g10722.t1,NIOBTv3_g13033.t1,NIOBTv3_g15151.t1,NIOBTv3_g16781.t1,NIOBTv3_g20554.t1,NIOBTv3_g20555.t1,NIOBTv3_g23344.t1,NIOBTv3_g27101.t1,NIOBTv3_g28483.t1,NIOBTv3_g28645.t1,NIOBTv3_g29294.t1,NIOBTv3_g32286.t1,NIOBTv3_g33558.t1,NIOBTv3_g33562.t1,NIOBTv3_g37747.t1,NIOBTv3_g38012.t1
Zinc finger, CCCH-type (IPR000571)	2.2	4e-03	29	74	NIOBTv3_g00656.t1,NIOBTv3_g00692.t1,NIOBTv3_g02616.t1,NIOBTv3_g04667.t1,NIOBTv3_g04822.t1,NIOBTv3_g05893.t1,NIOBTv3_g06701.t1,NIOBTv3_g07660.t1,NIOBTv3_g09554.t1,NIOBTv3_g09723.t1,NIOBTv3_g09812.t1,NIOBTv3_g10283.t1,NIOBTv3_g14223.t1,NIOBTv3_g14820.t1,NIOBTv3_g14896.t1,NIOBTv3_g21057.t1,NIOBTv3_g21265.t1,NIOBTv3_g22552.t1,NIOBTv3_g23645.t1,NIOBTv3_g27836.t1,NIOBTv3_g29962.t1,NIOBTv3_g30224.t1,NIOBTv3_g31160.t1,NIOBTv3_g34347.t1,NIOBTv3_g34404.t1,NIOBTv3_g34864.t1,NIOBTv3_g39073.t1,NIOBTv3_g39944.t1,NIOBTv3_g40314.t1
WD40-repeat-containing domain (IPR017986)	2.1	4e-08	78	208	NIOBTv3_g00533.t1,NIOBTv3_g00640.t1,NIOBTv3_g01137.t1,NIOBTv3_g01838.t1,NIOBTv3_g02790.t1,NIOBTv3_g02807.t1,NIOBTv3_g03001.t1,NIOBTv3_g03018.t1,NIOBTv3_g03413.t1,NIOBTv3_g04056.t1,NIOBTv3_g04074.t1,NIOBTv3_g04215.t1,NIOBTv3_g04269.t1,NIOBTv3_g04618.t1,NIOBTv3_g04810.t1,NIOBTv3_g05420.t1,NIOBTv3_g05647.t1,NIOBTv3_g06225.t1,NIOBTv3_g06292.t1,NIOBTv3_g07762.t1,NIOBTv3_g08120.t1,NIOBTv3_g08157.t1,NIOBTv3_g08167.t1,NIOBTv3_g08247.t1,NIOBTv3_g08451.t1,NIOBTv3_g08623.t1,NIOBTv3_g08824.t1,NIOBTv3_g09736.t1,NIOBTv3_g09851.t1,NIOBTv3_g09852.t1,NIOBTv3_g10334.t1,NIOBTv3_g10742.t1,NIOBTv3_g10830.t1,NIOBTv3_g12298.t1,NIOBTv3_g12414.t1,NIOBTv3_g14434.t1,NIOBTv3_g16368.t1,NIOBTv3_g16896.t1,NIOBTv3_g17168.t1,NIOBTv3_g17594.t1,NIOBTv3_g17653.t1,NIOBTv3_g18406.t1,NIOBTv3_g18475.t1,NIOBTv3_g19469.t1,NIOBTv3_g19812.t1,NIOBTv3_g19933.t1,NIOBTv3_g20718.t1,NIOBTv3_g20889.t1,NIOBTv3_g20979.t1,NIOBTv3_g21587.t1,NIOBTv3_g21623.t1,NIOBTv3_g22188.t1,NIOBTv3_g22442.t1,NIOBTv3_g23682.t1,NIOBTv3_g24898.t1,NIOBTv3_g25591.t1,NIOBTv3_g26144.t1,NIOBTv3_g26241.t1,NIOBTv3_g26721.t1,NIOBTv3_g26733.t1,NIOBTv3_g27287.t1,NIOBTv3_g27794.t1,NIOBTv3_g28032.t1,NIOBTv3_g28869.t1,NIOBTv3_g30080.t1,NIOBTv3_g30318.t1,NIOBTv3_g33477.t1,NIOBTv3_g33674.t1,NIOBTv3_g33747.t1,NIOBTv3_g33860.t1,NIOBTv3_g34561.t1,NIOBTv3_g36826.t1,NIOBTv3_g37187.t1,NIOBTv3_g38252.t1,NIOBTv3_g38977.t1,NIOBTv3_g39158.t1,NIOBTv3_g61254.t1,NIOBTv3_g62066.t1
WD40 repeat (IPR001680)	2.1	4e-08	78	209	NIOBTv3_g00533.t1,NIOBTv3_g00640.t1,NIOBTv3_g01137.t1,NIOBTv3_g01365.t1,NIOBTv3_g01838.t1,NIOBTv3_g02790.t1,NIOBTv3_g02807.t1,NIOBTv3_g03001.t1,NIOBTv3_g03018.t1,NIOBTv3_g03413.t1,NIOBTv3_g04056.t1,NIOBTv3_g04074.t1,NIOBTv3_g04215.t1,NIOBTv3_g04269.t1,NIOBTv3_g04618.t1,NIOBTv3_g04810.t1,NIOBTv3_g05420.t1,NIOBTv3_g05647.t1,NIOBTv3_g06225.t1,NIOBTv3_g06292.t1,NIOBTv3_g07762.t1,NIOBTv3_g08120.t1,NIOBTv3_g08157.t1,NIOBTv3_g08167.t1,NIOBTv3_g08247.t1,NIOBTv3_g08451.t1,NIOBTv3_g08623.t1,NIOBTv3_g08824.t1,NIOBTv3_g09736.t1,NIOBTv3_g09851.t1,NIOBTv3_g09852.t1,NIOBTv3_g10334.t1,NIOBTv3_g10742.t1,NIOBTv3_g10830.t1,NIOBTv3_g12298.t1,NIOBTv3_g12414.t1,NIOBTv3_g14434.t1,NIOBTv3_g16368.t1,NIOBTv3_g16896.t1,NIOBTv3_g17168.t1,NIOBTv3_g17594.t1,NIOBTv3_g17653.t1,NIOBTv3_g18406.t1,NIOBTv3_g18475.t1,NIOBTv3_g19469.t1,NIOBTv3_g19812.t1,NIOBTv3_g19933.t1,NIOBTv3_g20718.t1,NIOBTv3_g20889.t1,NIOBTv3_g20979.t1,NIOBTv3_g21623.t1,NIOBTv3_g22188.t1,NIOBTv3_g22442.t1,NIOBTv3_g23682.t1,NIOBTv3_g24898.t1,NIOBTv3_g25591.t1,NIOBTv3_g26144.t1,NIOBTv3_g26241.t1,NIOBTv3_g26721.t1,NIOBTv3_g26733.t1,NIOBTv3_g27287.t1,NIOBTv3_g27794.t1,NIOBTv3_g28032.t1,NIOBTv3_g28869.t1,NIOBTv3_g30080.t1,NIOBTv3_g30318.t1,NIOBTv3_g33477.t1,NIOBTv3_g33674.t1,NIOBTv3_g33747.t1,NIOBTv3_g33860.t1,NIOBTv3_g34561.t1,NIOBTv3_g36826.t1,NIOBTv3_g37187.t1,NIOBTv3_g38252.t1,NIOBTv3_g38977.t1,NIOBTv3_g39158.t1,NIOBTv3_g61254.t1,NIOBTv3_g62066.t1
G-protein beta WD-40 repeat (IPR020472)	2	7e-03	33	92	NIOBTv3_g00533.t1,NIOBTv3_g01137.t1,NIOBTv3_g02790.t1,NIOBTv3_g03413.t1,NIOBTv3_g04269.t1,NIOBTv3_g05647.t1,NIOBTv3_g06225.t1,NIOBTv3_g07762.t1,NIOBTv3_g08247.t1,NIOBTv3_g08451.t1,NIOBTv3_g08623.t1,NIOBTv3_g10334.t1,NIOBTv3_g10742.t1,NIOBTv3_g10830.t1,NIOBTv3_g12298.t1,NIOBTv3_g12414.t1,NIOBTv3_g14434.t1,NIOBTv3_g16896.t1,NIOBTv3_g17594.t1,NIOBTv3_g18406.t1,NIOBTv3_g19469.t1,NIOBTv3_g21623.t1,NIOBTv3_g22188.t1,NIOBTv3_g24898.t1,NIOBTv3_g25591.t1,NIOBTv3_g26144.t1,NIOBTv3_g27287.t1,NIOBTv3_g28032.t1,NIOBTv3_g28869.t1,NIOBTv3_g30318.t1,NIOBTv3_g33860.t1,NIOBTv3_g37187.t1,NIOBTv3_g39158.t1
Tetratricopeptide repeat (IPR019734)	2	2e-02	30	84	NIOBTv3_g01192.t1,NIOBTv3_g02354.t1,NIOBTv3_g07899.t1,NIOBTv3_g08880.t1,NIOBTv3_g09259.t1,NIOBTv3_g10714.t1,NIOBTv3_g11158.t1,NIOBTv3_g12272.t1,NIOBTv3_g12684.t1,NIOBTv3_g13162.t1,NIOBTv3_g16371.t1,NIOBTv3_g20884.t1,NIOBTv3_g21144.t1,NIOBTv3_g23258.t1,NIOBTv3_g24173.t1,NIOBTv3_g24637.t1,NIOBTv3_g24865.t1,NIOBTv3_g24928.t1,NIOBTv3_g25387.t1,NIOBTv3_g26761.t1,NIOBTv3_g27692.t1,NIOBTv3_g29434.t1,NIOBTv3_g32518.t1,NIOBTv3_g35050.t1,NIOBTv3_g35757.t1,NIOBTv3_g36425.t1,NIOBTv3_g38705.t1,NIOBTv3_g39082.t1,NIOBTv3_g40919.t1,NIOBTv3_g56894.t1
B3 DNA binding domain (IPR003340)	1.9	9e-02	23	66	NIOBTv3_g00209.t1,NIOBTv3_g03334.t1,NIOBTv3_g03995.t1,NIOBTv3_g05661.t1,NIOBTv3_g06337.t1,NIOBTv3_g08085.t1,NIOBTv3_g11023.t1,NIOBTv3_g11901.t1,NIOBTv3_g11904.t1,NIOBTv3_g13035.t1,NIOBTv3_g15968.t1,NIOBTv3_g16702.t1,NIOBTv3_g18499.t1,NIOBTv3_g21432.t1,NIOBTv3_g21582.t1,NIOBTv3_g23134.t1,NIOBTv3_g25919.t1,NIOBTv3_g29666.t1,NIOBTv3_g35703.t1,NIOBTv3_g38488.t1,NIOBTv3_g41208.t1,NIOBTv3_g41656.t1,NIOBTv3_g56470.t1
Tetratricopeptide repeat-containing domain (IPR013026)	1.8	1e-02	36	107	NIOBTv3_g01192.t1,NIOBTv3_g02354.t1,NIOBTv3_g07899.t1,NIOBTv3_g08067.t1,NIOBTv3_g08880.t1,NIOBTv3_g09259.t1,NIOBTv3_g10714.t1,NIOBTv3_g11158.t1,NIOBTv3_g12272.t1,NIOBTv3_g12684.t1,NIOBTv3_g13162.t1,NIOBTv3_g15488.t1,NIOBTv3_g16371.t1,NIOBTv3_g17158.t1,NIOBTv3_g20884.t1,NIOBTv3_g21144.t1,NIOBTv3_g23258.t1,NIOBTv3_g24173.t1,NIOBTv3_g24510.t1,NIOBTv3_g24637.t1,NIOBTv3_g24865.t1,NIOBTv3_g24928.t1,NIOBTv3_g25387.t1,NIOBTv3_g26761.t1,NIOBTv3_g27692.t1,NIOBTv3_g29434.t1,NIOBTv3_g32518.t1,NIOBTv3_g35050.t1,NIOBTv3_g35659.t1,NIOBTv3_g35757.t1,NIOBTv3_g36425.t1,NIOBTv3_g38705.t1,NIOBTv3_g39082.t1,NIOBTv3_g40919.t1,NIOBTv3_g41380.t1,NIOBTv3_g56894.t1
RNA recognition motif domain (IPR000504)	1.5	2e-02	64	228	NIOBTv3_g00887.t1,NIOBTv3_g01106.t1,NIOBTv3_g01435.t1,NIOBTv3_g02616.t1,NIOBTv3_g03224.t1,NIOBTv3_g03690.t1,NIOBTv3_g03796.t1,NIOBTv3_g05299.t1,NIOBTv3_g06637.t1,NIOBTv3_g07252.t1,NIOBTv3_g08042.t1,NIOBTv3_g08534.t1,NIOBTv3_g09146.t1,NIOBTv3_g09484.t1,NIOBTv3_g09554.t1,NIOBTv3_g10091.t1,NIOBTv3_g10283.t1,NIOBTv3_g11129.t1,NIOBTv3_g13275.t1,NIOBTv3_g14074.t1,NIOBTv3_g14261.t1,NIOBTv3_g16898.t1,NIOBTv3_g17307.t1,NIOBTv3_g17629.t1,NIOBTv3_g18155.t1,NIOBTv3_g18871.t1,NIOBTv3_g19621.t1,NIOBTv3_g20941.t1,NIOBTv3_g21370.t1,NIOBTv3_g22688.t1,NIOBTv3_g22809.t1,NIOBTv3_g22872.t1,NIOBTv3_g23013.t1,NIOBTv3_g23916.t1,NIOBTv3_g25413.t1,NIOBTv3_g25643.t1,NIOBTv3_g25660.t1,NIOBTv3_g26180.t1,NIOBTv3_g26566.t1,NIOBTv3_g26878.t1,NIOBTv3_g26961.t1,NIOBTv3_g29941.t1,NIOBTv3_g29962.t1,NIOBTv3_g31160.t1,NIOBTv3_g31260.t1,NIOBTv3_g32020.t1,NIOBTv3_g33533.t1,NIOBTv3_g34347.t1,NIOBTv3_g34404.t1,NIOBTv3_g34722.t1,NIOBTv3_g34832.t1,NIOBTv3_g34905.t1,NIOBTv3_g35235.t1,NIOBTv3_g35415.t1,NIOBTv3_g36479.t1,NIOBTv3_g36650.t1,NIOBTv3_g36690.t1,NIOBTv3_g37233.t1,NIOBTv3_g39555.t1,NIOBTv3_g39727.t1,NIOBTv3_g40251.t1,NIOBTv3_g40758.t1,NIOBTv3_g43663.t1,NIOBTv3_g58689.t1
