PF13976	GAG-pre-integrase domain
PF05920	Homeobox KN domain
PF07526	Associated with HOX
PF07521	Zn-dependent metallo-hydrolase RNA specificity domain
PF10996	Beta-Casp domain
PF00385	Chromo (CHRromatin Organisation MOdifier) domain
PF14310	Fibronectin type III-like domain
PF01915	Glycosyl hydrolase family 3 C-terminal domain
PF00933	Glycosyl hydrolase family 3 N terminal domain
PF15963	Myb DNA-binding like
PF13499	EF-hand domain pair
PF13499	EF-hand domain pair
PF00069	Protein kinase domain
PF17919	RNase H-like domain found in reverse transcriptase
PF17284	Spermidine synthase tetramerisation domain
PF01564	Spermine/spermidine synthase domain
PF01165	Ribosomal protein S21
PF01699	Sodium/calcium exchanger protein
PF01699	Sodium/calcium exchanger protein
PF00266	Aminotransferase class-V
PF01467	Cytidylyltransferase-like
PF01467	Cytidylyltransferase-like
PF04676	Protein similar to CwfJ C-terminus 2
PF04677	Protein similar to CwfJ C-terminus 1
PF00071	Ras family
PF13837	Myb/SANT-like DNA-binding domain
PF12697	Alpha/beta hydrolase family
PF00227	Proteasome subunit
PF01424	R3H domain
PF07717	Oligonucleotide/oligosaccharide-binding (OB)-fold
PF00270	DEAD/DEAH box helicase
PF04408	Helicase associated domain (HA2)
PF00271	Helicase conserved C-terminal domain
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF02519	Auxin responsive protein
PF03465	eRF1 domain 3
PF03463	eRF1 domain 1
PF03464	eRF1 domain 2
PF01529	DHHC palmitoyltransferase
PF01501	Glycosyl transferase family 8
PF00561	alpha/beta hydrolase fold
PF03168	Late embryogenesis abundant protein
PF00231	ATP synthase
PF00439	Bromodomain
PF04431	Pectate lyase, N terminus
PF00544	Pectate lyase
PF03162	Tyrosine phosphatase family
PF05633	Protein BYPASS1-related
PF00225	Kinesin motor domain
PF00083	Sugar (and other) transporter
PF14599	Zinc-ribbon
PF05495	CHY zinc finger
PF01814	Hemerythrin HHE cation binding domain
PF01814	Hemerythrin HHE cation binding domain
PF01814	Hemerythrin HHE cation binding domain
PF04646	Protein of unknown function, DUF604
PF05142	Domain of unknown function (DUF702)
PF13456	Reverse transcriptase-like
PF13405	EF-hand domain
PF00854	POT family
PF09725	Folate-sensitive fragile site protein Fra10Ac1
PF00847	AP2 domain
PF12854	PPR repeat
PF07714	Protein tyrosine kinase
PF01453	D-mannose binding lectin
PF08276	PAN-like domain
PF00954	S-locus glycoprotein domain
PF00067	Cytochrome P450
PF00170	bZIP transcription factor
PF03479	Plants and Prokaryotes Conserved (PCC) domain
PF03107	C1 domain
PF03107	C1 domain
PF03107	C1 domain
PF03009	Glycerophosphoryl diester phosphodiesterase family
PF00862	Sucrose synthase
PF00534	Glycosyl transferases group 1
PF05116	Sucrose-6F-phosphate phosphohydrolase
PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF08263	Leucine rich repeat N-terminal domain
PF00560	Leucine Rich Repeat
PF00657	GDSL-like Lipase/Acylhydrolase
PF00294	pfkB family carbohydrate kinase
PF06916	Protein of unknown function (DUF1279)
PF00249	Myb-like DNA-binding domain
PF11831	pre-mRNA splicing factor component
PF13921	Myb-like DNA-binding domain
PF02985	HEAT repeat
PF18808	Importin repeat
PF12899	Alkaline and neutral invertase
PF13691	tRNase Z endonuclease
PF02926	THUMP domain
PF06884	Protein of unknown function (DUF1264)
PF03016	Exostosin family
PF14833	NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
PF03446	NAD binding domain of 6-phosphogluconate dehydrogenase
PF09331	Domain of unknown function (DUF1985)
PF01494	FAD binding domain
PF00847	AP2 domain
PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)
PF01094	Receptor family ligand binding region
PF00060	Ligand-gated ion channel
PF00497	Bacterial extracellular solute-binding proteins, family 3
PF01029	NusB family
PF08263	Leucine rich repeat N-terminal domain
PF08263	Leucine rich repeat N-terminal domain
PF07714	Protein tyrosine kinase
PF12799	Leucine Rich repeats (2 copies)
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF10536	Plant mobile domain
PF06955	Xyloglucan endo-transglycosylase (XET) C-terminus
PF00722	Glycosyl hydrolases family 16
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF01217	Clathrin adaptor complex small chain
PF08613	Cyclin
PF00504	Chlorophyll A-B binding protein
PF00083	Sugar (and other) transporter
PF13561	Enoyl-(Acyl carrier protein) reductase
PF00514	Armadillo/beta-catenin-like repeat
PF00514	Armadillo/beta-catenin-like repeat
PF00514	Armadillo/beta-catenin-like repeat
PF00514	Armadillo/beta-catenin-like repeat
PF00651	BTB/POZ domain
PF12146	Serine aminopeptidase, S33
PF01842	ACT domain
PF03478	Protein of unknown function (DUF295)
PF03083	Sugar efflux transporter for intercellular exchange
PF03083	Sugar efflux transporter for intercellular exchange
PF01663	Type I phosphodiesterase / nucleotide pyrophosphatase
PF13943	WPP domain
PF03016	Exostosin family
PF00271	Helicase conserved C-terminal domain
PF12513	Mitochondrial degradasome RNA helicase subunit C terminal
PF18147	Suv3 C-terminal domain 1
PF07744	SPOC domain
PF00271	Helicase conserved C-terminal domain
PF00176	SNF2 family N-terminal domain
PF00069	Protein kinase domain
PF00909	Ammonium Transporter Family
PF04137	Endoplasmic Reticulum Oxidoreductin 1 (ERO1)
PF00069	Protein kinase domain
PF00385	Chromo (CHRromatin Organisation MOdifier) domain
PF01762	Galactosyltransferase
PF02470	MlaD protein
PF01740	STAS domain
PF00916	Sulfate permease family
PF08295	Sin3 family co-repressor
PF02671	Paired amphipathic helix repeat
PF02671	Paired amphipathic helix repeat
PF02671	Paired amphipathic helix repeat
PF16879	C-terminal domain of Sin3a protein
PF00400	WD domain, G-beta repeat
PF00400	WD domain, G-beta repeat
PF00400	WD domain, G-beta repeat
PF00400	WD domain, G-beta repeat
PF00400	WD domain, G-beta repeat
PF02338	OTU-like cysteine protease
PF00168	C2 domain
PF03147	Ferredoxin-fold anticodon binding domain
PF01409	tRNA synthetases class II core domain (F)
PF14226	non-haem dioxygenase in morphine synthesis N-terminal
PF03171	2OG-Fe(II) oxygenase superfamily
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13041	PPR repeat family
PF14432	DYW family of nucleic acid deaminases
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13041	PPR repeat family
PF12854	PPR repeat
PF12854	PPR repeat
PF12854	PPR repeat
PF12854	PPR repeat
PF18051	26S proteasome non-ATPase regulatory subunit RPN1 C-terminal
PF01851	Proteasome/cyclosome repeat
PF01851	Proteasome/cyclosome repeat
PF17781	RPN1/RPN2 N-terminal domain
PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00083	Sugar (and other) transporter
PF00011	Hsp20/alpha crystallin family
PF17919	RNase H-like domain found in reverse transcriptase
PF00781	Diacylglycerol kinase catalytic domain
PF03366	YEATS family
PF00069	Protein kinase domain
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF08263	Leucine rich repeat N-terminal domain
PF00560	Leucine Rich Repeat
PF00534	Glycosyl transferases group 1
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF17177	Pentacotripeptide-repeat region of PRORP
PF13041	PPR repeat family
PF02365	No apical meristem (NAM) protein
PF03140	Plant protein of unknown function
PF02319	E2F/DP family winged-helix DNA-binding domain
PF16421	E2F transcription factor CC-MB domain
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13812	Pentatricopeptide repeat domain
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF01789	PsbP
PF03870	RNA polymerase Rpb8
PF13912	C2H2-type zinc finger
PF13912	C2H2-type zinc finger
PF13912	C2H2-type zinc finger
PF00063	Myosin head (motor domain)
PF00612	IQ calmodulin-binding motif
PF00612	IQ calmodulin-binding motif
PF00612	IQ calmodulin-binding motif
PF00060	Ligand-gated ion channel
PF01094	Receptor family ligand binding region
PF00497	Bacterial extracellular solute-binding proteins, family 3
PF03398	Regulator of Vps4 activity in the MVB pathway
PF16040	Domain of unknown function (DUF4792)
PF16041	Domain of unknown function (DUF4793)
PF13920	Zinc finger, C3HC4 type (RING finger)
PF04055	Radical SAM superfamily
PF16881	N-terminal domain of lipoyl synthase of Radical_SAM family
PF13456	Reverse transcriptase-like
PF13041	PPR repeat family
PF13041	PPR repeat family
PF01535	PPR repeat
PF01852	START domain
PF00046	Homeodomain
PF02365	No apical meristem (NAM) protein
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00314	Thaumatin family
PF13174	Tetratricopeptide repeat
PF13432	Tetratricopeptide repeat
PF00428	60s Acidic ribosomal protein
PF00153	Mitochondrial carrier protein
PF00153	Mitochondrial carrier protein
PF00153	Mitochondrial carrier protein
PF00153	Mitochondrial carrier protein
PF00153	Mitochondrial carrier protein
PF00153	Mitochondrial carrier protein
PF03226	Yippee zinc-binding/DNA-binding /Mis18, centromere assembly
PF00291	Pyridoxal-phosphate dependent enzyme
PF04702	Vicilin N terminal region
PF04702	Vicilin N terminal region
PF00190	Cupin
PF00190	Cupin
PF00984	UDP-glucose/GDP-mannose dehydrogenase family, central domain
PF03721	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain
PF03720	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain
PF13561	Enoyl-(Acyl carrier protein) reductase
PF01694	Rhomboid family
PF00627	UBA/TS-N domain
PF00481	Protein phosphatase 2C
PF14144	Seed dormancy control
PF08263	Leucine rich repeat N-terminal domain
PF13516	Leucine Rich repeat
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13041	PPR repeat family
PF12854	PPR repeat
PF12854	PPR repeat
PF01535	PPR repeat
PF00403	Heavy-metal-associated domain
PF01190	Pollen proteins Ole e I like
PF01582	TIR domain
PF00931	NB-ARC domain
PF10559	Plug domain of Sec61p
PF00344	SecY translocase
PF01095	Pectinesterase
PF13857	Ankyrin repeats (many copies)
PF12796	Ankyrin repeats (3 copies)
PF00139	Legume lectin domain
PF00069	Protein kinase domain
PF10225	NEMP family
PF12697	Alpha/beta hydrolase family
PF01974	tRNA intron endonuclease, catalytic C-terminal domain
PF02778	tRNA intron endonuclease, N-terminal domain
PF00561	alpha/beta hydrolase fold
PF02127	Aminopeptidase I zinc metalloprotease (M18)
PF00501	AMP-binding enzyme
PF05938	Plant self-incompatibility protein S1
PF13920	Zinc finger, C3HC4 type (RING finger)
PF02574	Homocysteine S-methyltransferase
PF00249	Myb-like DNA-binding domain
PF04433	SWIRM domain
PF13639	Ring finger domain
PF00319	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF08880	QLQ
PF08879	WRC
PF13639	Ring finger domain
PF13561	Enoyl-(Acyl carrier protein) reductase
PF00134	Cyclin, N-terminal domain
PF02984	Cyclin, C-terminal domain
PF17919	RNase H-like domain found in reverse transcriptase
PF02696	Uncharacterized ACR, YdiU/UPF0061 family
PF04844	Transcriptional repressor, ovate
PF08911	NUP50 (Nucleoporin 50 kDa)
PF00638	RanBP1 domain
PF00400	WD domain, G-beta repeat
PF00400	WD domain, G-beta repeat
PF18044	CCCH-type zinc finger
PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00011	Hsp20/alpha crystallin family
PF12146	Serine aminopeptidase, S33
PF03181	BURP domain
PF12796	Ankyrin repeats (3 copies)
PF12796	Ankyrin repeats (3 copies)
PF13962	Domain of unknown function
PF00023	Ankyrin repeat
PF02458	Transferase family
PF10075	CSN8/PSMD8/EIF3K family
PF02902	Ulp1 protease family, C-terminal catalytic domain
PF05553	Cotton fibre expressed protein
PF01544	CorA-like Mg2+ transporter protein
PF02798	Glutathione S-transferase, N-terminal domain
PF00867	XPG I-region
PF00752	XPG N-terminal domain
PF01486	K-box region
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF13855	Leucine rich repeat
PF08263	Leucine rich repeat N-terminal domain
PF13516	Leucine Rich repeat
PF00560	Leucine Rich Repeat
PF00560	Leucine Rich Repeat
PF04281	Mitochondrial import receptor subunit Tom22
PF13639	Ring finger domain
PF02428	Potato type II proteinase inhibitor family
PF02428	Potato type II proteinase inhibitor family
PF02428	Potato type II proteinase inhibitor family
PF02428	Potato type II proteinase inhibitor family
PF02428	Potato type II proteinase inhibitor family
PF14369	zinc-ribbon
PF13639	Ring finger domain
PF12036	Protein of unknown function (DUF3522)
PF00237	Ribosomal protein L22p/L17e
PF16679	DNA replication factor Cdt1 C-terminal domain
PF08839	DNA replication factor CDT1 like
PF00385	Chromo (CHRromatin Organisation MOdifier) domain
PF02977	Carboxypeptidase A inhibitor
PF03735	ENT domain
PF00249	Myb-like DNA-binding domain
PF05623	Protein of unknown function (DUF789)
PF13639	Ring finger domain
PF13833	EF-hand domain pair
PF05199	GMC oxidoreductase
PF00732	GMC oxidoreductase
PF00454	Phosphatidylinositol 3- and 4-kinase
PF00240	Ubiquitin family
PF00240	Ubiquitin family
PF00400	WD domain, G-beta repeat
PF00400	WD domain, G-beta repeat
PF00400	WD domain, G-beta repeat
PF00400	WD domain, G-beta repeat
PF11816	Domain of unknown function (DUF3337)
PF00011	Hsp20/alpha crystallin family
PF03009	Glycerophosphoryl diester phosphodiesterase family
PF03009	Glycerophosphoryl diester phosphodiesterase family
PF08031	Berberine and berberine like
PF13365	Trypsin-like peptidase domain
PF17815	PDZ domain
PF00213	ATP synthase delta (OSCP) subunit
PF00067	Cytochrome P450
PF02770	Acyl-CoA dehydrogenase, middle domain
PF01756	Acyl-CoA oxidase
PF00441	Acyl-CoA dehydrogenase, C-terminal domain
PF02906	Iron only hydrogenase large subunit, C-terminal domain
PF02256	Iron hydrogenase small subunit
PF03364	Polyketide cyclase / dehydrase and lipid transport
PF03364	Polyketide cyclase / dehydrase and lipid transport
PF00320	GATA zinc finger
PF00249	Myb-like DNA-binding domain
PF00249	Myb-like DNA-binding domain
PF03255	Acetyl co-enzyme A carboxylase carboxyltransferase alpha subunit
PF03195	Lateral organ boundaries (LOB) domain
PF01936	NYN domain
PF14418	OST-HTH Associated domain
PF14111	Domain of unknown function (DUF4283)
PF12146	Serine aminopeptidase, S33
PF14111	Domain of unknown function (DUF4283)
PF00069	Protein kinase domain
PF00046	Homeodomain
PF02183	Homeobox associated leucine zipper
PF04618	HD-ZIP protein N terminus
PF02485	Core-2/I-Branching enzyme
PF05910	Plant protein of unknown function (DUF868)
PF02135	TAZ zinc finger
PF00651	BTB/POZ domain
PF09331	Domain of unknown function (DUF1985)
PF15011	Casein Kinase 2 substrate
PF03055	Retinal pigment epithelial membrane protein
PF05514	HR-like lesion-inducing
PF00400	WD domain, G-beta repeat
PF00400	WD domain, G-beta repeat
PF16544	Homodimerisation region of STAR domain protein
PF00538	linker histone H1 and H5 family
PF00249	Myb-like DNA-binding domain
PF00804	Syntaxin
PF05705	Eukaryotic protein of unknown function (DUF829)
PF05705	Eukaryotic protein of unknown function (DUF829)
PF03641	Possible lysine decarboxylase
PF08033	Sec23/Sec24 beta-sandwich domain
PF04815	Sec23/Sec24 helical domain
PF04811	Sec23/Sec24 trunk domain
PF00626	Gelsolin repeat
PF02519	Auxin responsive protein
PF03195	Lateral organ boundaries (LOB) domain
PF04116	Fatty acid hydroxylase superfamily
PF12076	WAX2 C-terminal domain
PF05542	Protein of unknown function (DUF760)
PF05542	Protein of unknown function (DUF760)
PF00407	Pathogenesis-related protein Bet v I family
PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)
PF07727	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00249	Myb-like DNA-binding domain
PF13920	Zinc finger, C3HC4 type (RING finger)
PF00564	PB1 domain
PF07714	Protein tyrosine kinase
PF00704	Glycosyl hydrolases family 18
PF03169	OPT oligopeptide transporter protein
PF03514	GRAS domain family
PF04851	Type III restriction enzyme, res subunit
PF09416	RNA helicase (UPF2 interacting domain)
PF13087	AAA domain
PF18141	Domain of unknown function (DUF5599)
PF13086	AAA domain
PF04564	U-box domain
PF00514	Armadillo/beta-catenin-like repeat
PF00514	Armadillo/beta-catenin-like repeat
PF01380	SIS domain
PF00571	CBS domain
PF00571	CBS domain
PF04124	Dor1-like family
PF00249	Myb-like DNA-binding domain
PF04720	PDDEXK-like family of unknown function
PF01485	IBR domain, a half RING-finger domain
PF13639	Ring finger domain
PF00646	F-box domain
PF14299	Phloem protein 2
PF00011	Hsp20/alpha crystallin family
PF01717	Cobalamin-independent synthase, Catalytic domain
PF03121	Herpesviridae UL52/UL70 DNA primase
PF01357	Pollen allergen
PF17136	Ribosomal proteins 50S L24/mitochondrial 39S L24
PF00467	KOW motif
PF00244	14-3-3 protein
PF00098	Zinc knuckle
PF01596	O-methyltransferase
PF00411	Ribosomal protein S11
PF04719	hTAFII28-like protein conserved region
PF02365	No apical meristem (NAM) protein
PF02298	Plastocyanin-like domain
PF05028	Poly (ADP-ribose) glycohydrolase (PARG)
PF00098	Zinc knuckle
PF02298	Plastocyanin-like domain
PF00141	Peroxidase
PF13920	Zinc finger, C3HC4 type (RING finger)
PF13855	Leucine rich repeat
PF03083	Sugar efflux transporter for intercellular exchange
PF03083	Sugar efflux transporter for intercellular exchange
PF00069	Protein kinase domain
PF00201	UDP-glucoronosyl and UDP-glucosyl transferase
PF00403	Heavy-metal-associated domain
PF00096	Zinc finger, C2H2 type
PF00096	Zinc finger, C2H2 type
PF12327	FtsZ family, C-terminal domain
PF00091	Tubulin/FtsZ family, GTPase domain
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF03721	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain
PF03720	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain
PF00984	UDP-glucose/GDP-mannose dehydrogenase family, central domain
PF00891	O-methyltransferase domain
PF08100	Dimerisation domain
PF10294	Lysine methyltransferase
PF02362	B3 DNA binding domain
PF06507	Auxin response factor
PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00270	DEAD/DEAH box helicase
PF00271	Helicase conserved C-terminal domain
PF00069	Protein kinase domain
PF03151	Triose-phosphate Transporter family
PF00891	O-methyltransferase domain
PF00931	NB-ARC domain
PF01246	Ribosomal protein L24e
PF10433	Mono-functional DNA-alkylating methyl methanesulfonate N-term
PF03178	CPSF A subunit region
PF03016	Exostosin family
PF03462	PCRF domain
PF00472	RF-1 domain
PF09778	Guanylylate cyclase
PF00071	Ras family
PF00071	Ras family
PF03169	OPT oligopeptide transporter protein
PF13639	Ring finger domain
PF03031	NLI interacting factor-like phosphatase
PF05916	GINS complex protein
PF02338	OTU-like cysteine protease
PF00538	linker histone H1 and H5 family
PF01535	PPR repeat
PF01535	PPR repeat
PF14432	DYW family of nucleic acid deaminases
PF00847	AP2 domain
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF01535	PPR repeat
PF13041	PPR repeat family
PF13041	PPR repeat family
PF00646	F-box domain
PF08268	F-box associated domain
PF01161	Phosphatidylethanolamine-binding protein
PF02701	Dof domain, zinc finger
PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF01535	PPR repeat
PF01535	PPR repeat
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13041	PPR repeat family
PF13417	Glutathione S-transferase, N-terminal domain
PF13410	Glutathione S-transferase, C-terminal domain
PF00224	Pyruvate kinase, barrel domain
PF02887	Pyruvate kinase, alpha/beta domain
PF04885	Stigma-specific protein, Stig1
PF04885	Stigma-specific protein, Stig1
PF11894	Nuclear pore complex scaffold, nucleoporins 186/192/205
PF03030	Inorganic H+ pyrophosphatase
PF03351	DOMON domain
PF03188	Eukaryotic cytochrome b561
PF05078	Protein of unknown function (DUF679)
PF00378	Enoyl-CoA hydratase/isomerase
PF02737	3-hydroxyacyl-CoA dehydrogenase, NAD binding domain
PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
PF00069	Protein kinase domain
PF14363	Domain associated at C-terminal with AAA
PF00004	ATPase family associated with various cellular activities (AAA)
PF00728	Glycosyl hydrolase family 20, catalytic domain
