Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
Rx, N-terminal (IPR041118)	3.8	3e-06	25	66	Solyc01g073985.1.1, Solyc01g086810.2.1, Solyc03g078300.3.1, Solyc04g007070.3.1, Solyc04g007490.3.1, Solyc04g009150.1.1, Solyc04g009240.2.1, Solyc04g009250.1.1, Solyc04g009660.2.1, Solyc04g015640.1.1, Solyc04g026110.4.1, Solyc07g053010.3.1, Solyc07g053020.3.1, Solyc08g005440.3.1, Solyc08g007630.1.1, Solyc08g075630.3.1, Solyc08g075640.4.1, Solyc09g018220.3.1, Solyc10g085460.3.1, Solyc11g068360.1.1, Solyc11g069620.3.1, Solyc11g069670.2.1, Solyc11g069930.3.1, Solyc11g071430.1.1, Solyc11g072000.2.1
Leucine zipper, homeobox-associated (IPR003106)	3.7	4e-02	10	27	Solyc02g063520.3.1, Solyc02g086930.4.1, Solyc02g087840.3.1, Solyc04g005800.3.1, Solyc05g007180.3.1, Solyc05g051460.3.1, Solyc06g060830.3.1, Solyc08g007270.4.1, Solyc10g080540.2.1, Solyc11g010270.2.1
Glycosyl transferase, family 1 (IPR001296)	3.7	2e-02	11	30	Solyc01g007100.3.1, Solyc01g095300.3.1, Solyc02g081300.3.1, Solyc08g042000.3.1, Solyc08g083320.4.1, Solyc09g092130.3.1, Solyc09g098590.4.1, Solyc11g006560.3.1, Solyc11g007840.3.1, Solyc11g045110.3.1, Solyc12g009300.3.1
P-type ATPase (IPR001757)	3.3	2e-02	14	43	Solyc01g011100.2.1, Solyc01g096190.3.1, Solyc02g092450.3.1, Solyc02g092920.4.1, Solyc04g077870.3.1, Solyc06g062780.4.1, Solyc06g071100.4.1, Solyc07g008320.3.1, Solyc07g009130.4.1, Solyc07g017780.4.1, Solyc07g022780.2.1, Solyc08g061610.4.1, Solyc08g080890.3.1, Solyc12g044920.3.1
Zinc finger, Dof-type (IPR003851)	3.2	9e-02	10	31	Solyc02g077950.3.1, Solyc03g082840.3.1, Solyc03g112930.3.1, Solyc06g005130.3.1, Solyc06g071480.3.1, Solyc06g075370.3.1, Solyc06g150130.1.1, Solyc08g082910.2.1, Solyc10g086440.2.1, Solyc11g072500.2.1
Zinc finger, PHD-finger (IPR019787)	3.2	2e-04	23	72	Solyc01g087410.4.1, Solyc01g095890.4.1, Solyc02g068560.3.1, Solyc02g084510.3.1, Solyc03g005170.3.1, Solyc03g059420.4.1, Solyc03g071550.3.1, Solyc03g083410.3.1, Solyc04g007270.3.1, Solyc04g008610.3.1, Solyc06g009680.4.1, Solyc06g010240.3.1, Solyc08g029130.3.1, Solyc09g031580.3.1, Solyc09g065340.3.1, Solyc09g076010.3.1, Solyc09g098260.3.1, Solyc10g005490.4.1, Solyc11g013530.3.1, Solyc11g065160.3.1, Solyc11g066480.2.1, Solyc11g066780.3.1, Solyc12g055910.3.1
X8 domain (IPR012946)	2.9	6e-02	13	45	Solyc01g010310.4.1, Solyc02g071200.4.1, Solyc03g115200.3.1, Solyc04g007910.3.1, Solyc04g015190.3.1, Solyc05g012380.3.1, Solyc05g016390.4.1, Solyc05g025500.3.1, Solyc07g005330.3.1, Solyc07g017730.3.1, Solyc08g005000.4.1, Solyc12g017360.3.1, Solyc12g098410.2.1
NB-ARC (IPR002182)	2.6	6e-08	55	212	Solyc01g008800.3.1, Solyc01g014840.3.1, Solyc01g073985.1.1, Solyc01g086810.2.1, Solyc01g088060.3.1, Solyc01g103610.4.1, Solyc01g113620.3.1, Solyc02g036270.4.1, Solyc02g070410.2.1, Solyc02g082050.3.1, Solyc03g078300.3.1, Solyc04g005540.3.1, Solyc04g007070.3.1, Solyc04g007490.3.1, Solyc04g008130.3.1, Solyc04g008205.1.1, Solyc04g009150.1.1, Solyc04g009240.2.1, Solyc04g009250.1.1, Solyc04g009660.2.1, Solyc04g011990.3.1, Solyc04g015640.1.1, Solyc04g026110.4.1, Solyc05g005130.3.1, Solyc05g005330.3.1, Solyc05g006620.3.1, Solyc05g007640.3.1, Solyc05g054010.4.1, Solyc06g008368.1.1, Solyc06g008785.1.1, Solyc06g064750.1.1, Solyc07g005770.2.1, Solyc07g053010.3.1, Solyc07g053020.3.1, Solyc08g005440.3.1, Solyc08g007250.3.1, Solyc08g007630.1.1, Solyc08g075630.3.1, Solyc08g075640.4.1, Solyc09g007710.3.1, Solyc09g018220.3.1, Solyc09g098100.4.1, Solyc10g051050.3.1, Solyc10g085460.3.1, Solyc11g006520.2.1, Solyc11g006640.3.1, Solyc11g011080.3.1, Solyc11g020100.3.1, Solyc11g068360.1.1, Solyc11g069620.3.1, Solyc11g069990.2.1, Solyc11g071430.1.1, Solyc12g005970.1.1, Solyc12g016220.3.1, Solyc12g044190.3.1
Tetratricopeptide repeat-containing domain (IPR013026)	2.2	2e-02	28	125	Solyc01g086990.3.1, Solyc02g083640.4.1, Solyc02g092780.3.1, Solyc03g082990.3.1, Solyc03g095230.2.1, Solyc04g016410.3.1, Solyc04g077660.3.1, Solyc05g008420.4.1, Solyc05g050630.4.1, Solyc06g009670.3.1, Solyc06g053530.3.1, Solyc06g063420.4.1, Solyc06g066790.3.1, Solyc06g068130.3.1, Solyc06g068230.4.1, Solyc06g071850.3.1, Solyc06g076850.3.1, Solyc06g083150.3.1, Solyc07g008210.4.1, Solyc07g008760.4.1, Solyc07g041510.3.1, Solyc07g041550.2.1, Solyc09g057660.3.1, Solyc09g064630.3.1, Solyc09g065640.3.1, Solyc10g078250.1.1, Solyc11g005690.3.1, Solyc12g014320.2.1
Helicase, C-terminal (IPR001650)	2.2	2e-03	35	157	Solyc01g057760.4.1, Solyc01g067390.4.1, Solyc01g095710.3.1, Solyc01g100280.4.1, Solyc01g103960.3.1, Solyc02g050280.4.1, Solyc02g062780.4.1, Solyc02g068560.3.1, Solyc03g005460.4.1, Solyc03g006570.3.1, Solyc03g063220.2.1, Solyc03g114780.3.1, Solyc03g115390.4.1, Solyc04g016370.3.1, Solyc05g015040.4.1, Solyc05g044480.3.1, Solyc06g005990.4.1, Solyc06g010240.3.1, Solyc06g048960.4.1, Solyc06g065730.3.1, Solyc06g069480.3.1, Solyc06g071620.3.1, Solyc07g044930.3.1, Solyc08g029130.3.1, Solyc08g067210.3.1, Solyc08g068120.3.1, Solyc08g074600.4.1, Solyc09g018710.2.1, Solyc09g066480.2.1, Solyc11g008530.3.1, Solyc11g008540.3.1, Solyc11g062010.3.1, Solyc11g066790.2.1, Solyc12g089010.3.1, Solyc12g098700.1.1
Helicase superfamily 1/2, ATP-binding domain (IPR014001)	1.9	6e-02	30	155	Solyc01g057760.4.1, Solyc01g067390.4.1, Solyc01g095710.3.1, Solyc01g100280.4.1, Solyc01g103960.3.1, Solyc02g050280.4.1, Solyc02g062780.4.1, Solyc02g068560.3.1, Solyc03g005460.4.1, Solyc03g006570.3.1, Solyc03g063220.2.1, Solyc03g114780.3.1, Solyc03g115390.4.1, Solyc04g016370.3.1, Solyc05g015040.4.1, Solyc05g044480.3.1, Solyc06g005990.4.1, Solyc06g010240.3.1, Solyc06g048960.4.1, Solyc06g065730.3.1, Solyc06g069480.3.1, Solyc06g071620.3.1, Solyc07g044930.3.1, Solyc08g029130.3.1, Solyc08g074600.4.1, Solyc09g018710.2.1, Solyc11g062010.3.1, Solyc11g066790.2.1, Solyc12g089010.3.1, Solyc12g098700.1.1
Leucine-rich repeat (IPR001611)	1.9	4e-05	76	402	Solyc01g008800.3.1, Solyc01g073985.1.1, Solyc01g080770.3.1, Solyc01g086810.2.1, Solyc01g091230.3.1, Solyc01g098690.2.1, Solyc01g103530.3.1, Solyc01g107670.2.1, Solyc01g113620.3.1, Solyc02g021590.3.1, Solyc02g032200.4.1, Solyc02g067560.1.1, Solyc02g070000.4.1, Solyc02g070910.3.1, Solyc02g072440.4.1, Solyc02g077630.3.1, Solyc02g077850.3.1, Solyc02g078780.3.1, Solyc02g084370.2.1, Solyc02g084610.1.1, Solyc02g092940.3.1, Solyc02g093970.4.1, Solyc03g006100.4.1, Solyc03g034080.4.1, Solyc03g043770.4.1, Solyc03g062660.4.1, Solyc03g083510.4.1, Solyc03g093380.2.1, Solyc03g111670.3.1, Solyc03g112580.3.1, Solyc03g112750.4.1, Solyc04g008430.1.1, Solyc04g012185.1.1, Solyc04g050170.4.1, Solyc04g056640.1.1, Solyc04g064940.3.1, Solyc04g071680.2.1, Solyc04g074270.3.1, Solyc05g006630.4.1, Solyc05g010400.3.1, Solyc05g014240.4.1, Solyc05g015150.3.1, Solyc05g051640.4.1, Solyc05g052350.3.1, Solyc06g050560.3.1, Solyc06g065260.3.1, Solyc06g083640.4.1, Solyc07g018180.3.1, Solyc07g032155.1.1, Solyc07g042990.1.1, Solyc07g053180.3.1, Solyc07g054500.4.1, Solyc07g055810.3.1, Solyc07g065090.2.1, Solyc08g007250.3.1, Solyc08g007630.1.1, Solyc08g007640.1.1, Solyc08g061650.4.1, Solyc08g066490.3.1, Solyc08g075630.3.1, Solyc08g075640.4.1, Solyc08g081940.3.1, Solyc09g007710.3.1, Solyc09g055570.3.1, Solyc09g064520.3.1, Solyc09g075730.3.1, Solyc10g076290.2.1, Solyc10g081420.2.1, Solyc10g081910.2.1, Solyc10g082066.1.1, Solyc11g005150.3.1, Solyc11g020280.2.1, Solyc11g069990.2.1, Solyc12g008400.2.1, Solyc12g008500.2.1, Solyc12g100030.2.1
Leucine-rich repeat-containing N-terminal, plant-type (IPR013210)	1.8	2e-02	47	264	Solyc01g080770.3.1, Solyc01g091230.3.1, Solyc01g098690.2.1, Solyc01g103530.3.1, Solyc01g104970.3.1, Solyc01g107650.3.1, Solyc01g107670.2.1, Solyc02g021590.3.1, Solyc02g067560.1.1, Solyc02g070000.4.1, Solyc02g070910.3.1, Solyc02g077630.3.1, Solyc02g084370.2.1, Solyc02g092940.3.1, Solyc03g043770.4.1, Solyc03g062660.4.1, Solyc03g083510.4.1, Solyc03g095490.3.1, Solyc03g111670.3.1, Solyc03g112580.3.1, Solyc04g008430.1.1, Solyc04g050170.4.1, Solyc04g064940.3.1, Solyc04g071680.2.1, Solyc04g076980.3.1, Solyc05g010400.3.1, Solyc05g015150.3.1, Solyc05g051640.4.1, Solyc05g052350.3.1, Solyc06g050560.3.1, Solyc06g065260.3.1, Solyc07g018180.3.1, Solyc07g042990.1.1, Solyc07g065090.2.1, Solyc08g066490.3.1, Solyc08g080830.3.1, Solyc08g081940.3.1, Solyc09g055570.3.1, Solyc09g064520.3.1, Solyc09g075730.3.1, Solyc10g074900.2.1, Solyc10g081910.2.1, Solyc10g082066.1.1, Solyc11g006040.2.1, Solyc11g020280.2.1, Solyc12g008400.2.1, Solyc12g100030.2.1
Pentatricopeptide repeat (IPR002885)	1.7	2e-03	79	473	Solyc01g005790.1.1, Solyc01g006920.4.1, Solyc01g007850.2.1, Solyc01g080310.4.1, Solyc01g080450.4.1, Solyc01g081240.3.1, Solyc01g088670.3.1, Solyc01g096200.4.1, Solyc01g096440.4.1, Solyc01g097730.4.1, Solyc01g099530.3.1, Solyc01g101150.3.1, Solyc01g104630.3.1, Solyc01g111470.4.1, Solyc02g021020.4.1, Solyc02g021270.3.1, Solyc02g068890.3.1, Solyc02g079260.2.1, Solyc02g080950.3.1, Solyc02g081250.3.1, Solyc03g007390.4.1, Solyc03g096830.4.1, Solyc03g097000.3.1, Solyc03g113750.3.1, Solyc03g116540.1.1, Solyc03g116560.1.1, Solyc03g117570.3.1, Solyc03g118280.1.1, Solyc04g008410.3.1, Solyc04g009210.1.1, Solyc04g009220.2.1, Solyc04g009720.1.1, Solyc04g009730.4.1, Solyc04g016540.2.1, Solyc04g025430.1.1, Solyc04g050550.3.1, Solyc04g054290.3.1, Solyc04g064750.2.1, Solyc04g071280.3.1, Solyc05g008560.1.1, Solyc05g009253.1.1, Solyc05g010620.3.1, Solyc05g010780.1.1, Solyc05g012920.3.1, Solyc05g013200.1.1, Solyc05g014490.3.1, Solyc05g046280.3.1, Solyc06g007270.1.1, Solyc06g007300.2.1, Solyc06g007740.1.1, Solyc06g007810.1.1, Solyc06g007820.1.1, Solyc06g007850.3.1, Solyc06g035600.3.1, Solyc07g005850.3.1, Solyc07g009220.2.1, Solyc07g042030.2.1, Solyc07g053520.2.1, Solyc07g054100.3.1, Solyc07g054480.3.1, Solyc07g055220.3.1, Solyc08g023490.4.1, Solyc08g045780.4.1, Solyc08g067060.2.1, Solyc08g068230.4.1, Solyc08g076680.3.1, Solyc09g007050.1.1, Solyc09g082400.2.1, Solyc09g090220.3.1, Solyc09g097840.2.1, Solyc10g005090.3.1, Solyc10g008510.3.1, Solyc11g005940.3.1, Solyc11g006700.1.1, Solyc11g040060.3.1, Solyc11g064750.3.1, Solyc11g067210.1.1, Solyc11g073270.1.1, Solyc12g014000.3.1
Serine-threonine/tyrosine-protein kinase, catalytic domain (IPR001245)	1.6	2e-02	62	383	Solyc01g028830.3.1, Solyc01g059860.3.1, Solyc01g091230.3.1, Solyc01g095550.2.1, Solyc01g103530.3.1, Solyc01g106055.1.1, Solyc02g021590.3.1, Solyc02g065520.1.1, Solyc02g069970.4.1, Solyc02g070000.4.1, Solyc02g071740.3.1, Solyc02g071880.3.1, Solyc02g078780.3.1, Solyc02g079570.4.1, Solyc02g079710.4.1, Solyc02g087830.4.1, Solyc02g089090.3.1, Solyc02g093970.4.1, Solyc03g025450.4.1, Solyc03g031980.4.1, Solyc03g043770.4.1, Solyc03g112580.3.1, Solyc03g114310.3.1, Solyc04g077310.3.1, Solyc04g079690.3.1, Solyc05g007050.4.1, Solyc05g007140.3.1, Solyc05g013300.1.1, Solyc05g013310.1.1, Solyc05g013320.1.1, Solyc05g014240.4.1, Solyc05g052350.3.1, Solyc05g053930.4.1, Solyc06g005500.4.1, Solyc06g050560.3.1, Solyc07g006760.4.1, Solyc07g007980.3.1, Solyc07g027020.4.1, Solyc07g039340.4.1, Solyc07g054500.4.1, Solyc07g055130.4.1, Solyc07g055870.4.1, Solyc08g080830.3.1, Solyc09g007280.4.1, Solyc09g055570.3.1, Solyc09g064270.3.1, Solyc09g074250.3.1, Solyc09g091460.3.1, Solyc10g006870.1.1, Solyc10g045270.2.1, Solyc10g074710.2.1, Solyc10g074900.2.1, Solyc10g075040.3.1, Solyc10g081420.2.1, Solyc11g010700.3.1, Solyc11g033270.2.1, Solyc12g009310.2.1, Solyc12g013970.3.1, Solyc12g014350.3.1, Solyc12g089020.2.1, Solyc12g099250.2.1, Solyc12g099830.2.1
Protein kinase domain (IPR000719)	1.5	3e-05	169	1115	Solyc01g009300.3.1, Solyc01g028830.3.1, Solyc01g059860.3.1, Solyc01g068270.3.1, Solyc01g079750.3.1, Solyc01g080240.4.1, Solyc01g080770.3.1, Solyc01g090240.3.1, Solyc01g091230.3.1, Solyc01g094830.4.1, Solyc01g094940.4.1, Solyc01g095550.2.1, Solyc01g096170.4.1, Solyc01g098980.4.1, Solyc01g103240.4.1, Solyc01g103350.3.1, Solyc01g103430.4.1, Solyc01g103530.3.1, Solyc01g103940.3.1, Solyc01g104970.3.1, Solyc01g106055.1.1, Solyc01g107650.3.1, Solyc02g021590.3.1, Solyc02g065070.3.1, Solyc02g065520.1.1, Solyc02g067560.1.1, Solyc02g067830.3.1, Solyc02g069970.4.1, Solyc02g070000.4.1, Solyc02g070910.3.1, Solyc02g071740.3.1, Solyc02g071880.3.1, Solyc02g072300.4.1, Solyc02g072440.4.1, Solyc02g077630.3.1, Solyc02g078780.3.1, Solyc02g079570.4.1, Solyc02g079710.4.1, Solyc02g084370.2.1, Solyc02g087830.4.1, Solyc02g089090.3.1, Solyc02g090430.3.1, Solyc02g092940.3.1, Solyc02g093360.3.1, Solyc02g093970.4.1, Solyc03g006100.4.1, Solyc03g007210.3.1, Solyc03g025450.4.1, Solyc03g031980.4.1, Solyc03g033540.3.1, Solyc03g043770.4.1, Solyc03g062660.4.1, Solyc03g071750.3.1, Solyc03g093380.2.1, Solyc03g095490.3.1, Solyc03g096890.3.1, Solyc03g098150.3.1, Solyc03g111670.3.1, Solyc03g112580.3.1, Solyc03g114310.3.1, Solyc03g115660.3.1, Solyc03g117550.1.1, Solyc03g119490.4.1, Solyc04g008430.1.1, Solyc04g014883.1.1, Solyc04g014887.1.1, Solyc04g015130.3.1, Solyc04g045600.4.1, Solyc04g050170.4.1, Solyc04g064940.3.1, Solyc04g071680.2.1, Solyc04g076990.3.1, Solyc04g077310.3.1, Solyc04g078700.3.1, Solyc04g079690.3.1, Solyc04g081910.4.1, Solyc04g082840.4.1, Solyc05g007050.4.1, Solyc05g007140.3.1, Solyc05g009540.3.1, Solyc05g010140.3.1, Solyc05g010400.3.1, Solyc05g013300.1.1, Solyc05g013310.1.1, Solyc05g013320.1.1, Solyc05g014240.4.1, Solyc05g015150.3.1, Solyc05g047550.4.1, Solyc05g047600.4.1, Solyc05g050490.4.1, Solyc05g052350.3.1, Solyc05g052590.1.1, Solyc05g053010.1.1, Solyc05g053930.4.1, Solyc06g005500.4.1, Solyc06g005520.4.1, Solyc06g008320.4.1, Solyc06g048890.4.1, Solyc06g050560.3.1, Solyc06g054480.3.1, Solyc06g065260.3.1, Solyc06g068920.3.1, Solyc06g074480.3.1, Solyc06g075030.1.1, Solyc07g006760.4.1, Solyc07g007020.3.1, Solyc07g007980.3.1, Solyc07g009150.3.1, Solyc07g018180.3.1, Solyc07g027020.4.1, Solyc07g039340.4.1, Solyc07g053820.3.1, Solyc07g054500.4.1, Solyc07g055130.4.1, Solyc07g055810.3.1, Solyc07g055870.4.1, Solyc07g062170.3.1, Solyc07g063130.4.1, Solyc07g065610.1.1, Solyc08g013940.3.1, Solyc08g066490.3.1, Solyc08g080830.3.1, Solyc08g081940.3.1, Solyc09g007280.4.1, Solyc09g008640.1.1, Solyc09g009380.3.1, Solyc09g042660.4.1, Solyc09g055570.3.1, Solyc09g060110.4.1, Solyc09g064270.3.1, Solyc09g064520.3.1, Solyc09g074250.3.1, Solyc09g074830.3.1, Solyc09g091460.3.1, Solyc10g005630.3.1, Solyc10g006870.1.1, Solyc10g007500.4.1, Solyc10g045270.2.1, Solyc10g074710.2.1, Solyc10g074720.3.1, Solyc10g074900.2.1, Solyc10g075040.3.1, Solyc10g081420.2.1, Solyc10g081910.2.1, Solyc10g083500.2.1, Solyc11g006040.2.1, Solyc11g007250.2.1, Solyc11g007410.3.1, Solyc11g007430.3.1, Solyc11g010700.3.1, Solyc11g013240.3.1, Solyc11g013880.1.1, Solyc11g020280.2.1, Solyc11g033270.2.1, Solyc11g070140.2.1, Solyc11g070170.2.1, Solyc11g071970.2.1, Solyc12g008400.2.1, Solyc12g008500.2.1, Solyc12g009310.2.1, Solyc12g013970.3.1, Solyc12g014350.3.1, Solyc12g019460.2.1, Solyc12g040680.2.1, Solyc12g088750.2.1, Solyc12g089020.2.1, Solyc12g096010.3.1, Solyc12g099250.2.1, Solyc12g099830.2.1
