Description	Enrichment	Enrichment_pval	Hits	Total	Gene_IDs
Pentacotripeptide-repeat region of PRORP (IPR033443)	3.9	2e-02	9	15	AT1G19520.1, AT1G31430.1, AT1G79490.1, AT1G80880.1, AT2G32230.1, AT3G09060.1, AT3G18110.1, AT4G16390.1, AT4G34830.1
PRONE domain (IPR005512)	3.5	7e-02	8	15	AT1G31650.1, AT1G52240.1, AT1G79860.1, AT2G45890.1, AT3G16130.1, AT3G55660.1, AT4G38430.1, AT5G05940.1
Chlorophyll A-B binding protein (IPR022796)	3.4	2e-04	18	34	AT1G15820.1, AT1G19150.1, AT1G29910.1, AT1G29920.1, AT1G29930.1, AT1G44575.2, AT2G05070.1, AT2G05100.1, AT2G34420.1, AT2G34430.1, AT3G27690.1, AT3G47470.1, AT3G54890.4, AT3G61470.1, AT4G10340.1, AT5G01530.1, AT5G28450.1, AT5G54270.1
Glycoside hydrolase family 9 (IPR001701)	3.4	3e-03	14	27	AT1G02800.1, AT1G19940.1, AT1G64390.1, AT1G70710.1, AT1G71380.1, AT1G75680.1, AT2G32990.1, AT2G44540.1, AT2G44550.1, AT2G44560.1, AT4G02290.1, AT4G24260.1, AT4G39000.1, AT5G49720.1
OB-fold nucleic acid binding domain, AA-tRNA synthetase-type (IPR004365)	3.3	4e-02	10	20	AT2G24490.1, AT3G11710.1, AT4G17300.1, AT4G19130.1, AT4G26870.1, AT4G33760.1, AT5G08020.1, AT5G45400.1, AT5G56680.1, AT5G61000.1
PsbP, C-terminal (IPR002683)	3.3	7e-02	9	18	AT1G76450.1, AT1G77090.1, AT2G28605.1, AT2G30790.1, AT3G55330.1, AT3G56650.1, AT4G15510.2, AT5G11450.1, AT5G27390.1
FAS1 domain (IPR000782)	3.1	1e-02	13	27	AT1G03870.1, AT2G04780.1, AT2G04780.2, AT2G35860.1, AT2G45470.1, AT3G11700.1, AT3G46550.1, AT3G60900.1, AT4G12730.1, AT5G03170.1, AT5G06390.1, AT5G44130.1, AT5G60490.1
Small auxin-up RNA (IPR003676)	3	9e-08	37	81	AT1G19830.1, AT1G19840.1, AT1G29420.1, AT1G29430.1, AT1G29440.1, AT1G29450.1, AT1G29460.1, AT1G29490.1, AT1G29500.1, AT1G29510.1, AT1G75580.1, AT1G75590.1, AT2G21200.1, AT2G21210.1, AT2G21220.1, AT3G03820.1, AT3G03830.1, AT3G03840.1, AT3G03850.1, AT3G09870.1, AT4G34760.1, AT4G34770.1, AT4G34790.1, AT4G34800.1, AT4G36110.1, AT4G38840.1, AT4G38850.1, AT4G38860.1, AT5G10990.1, AT5G18010.1, AT5G18020.1, AT5G18030.1, AT5G18050.1, AT5G18060.1, AT5G18080.1, AT5G20820.1, AT5G27780.1
Transcription termination factor, mitochondrial/chloroplastic (IPR003690)	2.9	2e-03	18	40	AT1G21150.1, AT1G62085.1, AT1G62110.1, AT1G62120.1, AT1G62150.1, AT1G79220.1, AT2G03050.1, AT2G21710.1, AT2G34620.1, AT2G36000.1, AT3G46950.1, AT4G02990.1, AT4G14605.1, AT4G38160.1, AT5G07900.1, AT5G54180.1, AT5G55580.1, AT5G64950.1
FKBP-type peptidyl-prolyl cis-trans isomerase domain (IPR001179)	2.9	4e-02	12	27	AT1G18170.1, AT1G20810.1, AT1G73655.1, AT2G43560.1, AT3G10060.1, AT3G21640.1, AT3G60370.1, AT4G26555.1, AT4G39710.1, AT5G45680.1, AT5G48580.1, AT5G55220.1
Cyclin, N-terminal (IPR006671)	2.8	6e-04	23	54	AT1G15570.1, AT1G16330.1, AT1G20590.1, AT1G20610.1, AT1G44110.1, AT1G70210.1, AT1G76310.1, AT1G77390.1, AT1G80370.1, AT2G01905.1, AT2G17620.1, AT2G26760.1, AT3G11520.1, AT3G50070.1, AT4G34160.1, AT4G35620.1, AT4G37490.1, AT5G06150.1, AT5G10440.1, AT5G11300.1, AT5G25380.1, AT5G43080.1, AT5G67260.1
Kinesin motor domain (IPR001752)	2.7	6e-06	34	81	AT1G18370.1, AT1G18410.1, AT1G18550.1, AT1G20060.1, AT1G21730.1, AT1G73860.1, AT2G21380.1, AT2G28620.1, AT2G47500.1, AT3G10180.1, AT3G10310.1, AT3G16060.1, AT3G17360.1, AT3G19050.1, AT3G20150.1, AT3G23670.1, AT3G44050.1, AT3G49650.1, AT3G50240.1, AT4G05190.1, AT4G14150.1, AT4G14330.1, AT4G21270.1, AT4G27180.1, AT4G38950.1, AT4G39050.1, AT5G06670.1, AT5G23910.1, AT5G27000.1, AT5G27550.1, AT5G27950.1, AT5G54670.1, AT5G60930.1, AT5G66310.1
Sugar phosphate transporter domain (IPR004853)	2.7	2e-03	22	54	AT1G07290.1, AT1G12500.1, AT1G21070.1, AT1G34020.1, AT1G48230.1, AT1G53660.1, AT1G76670.1, AT2G28315.1, AT3G01550.1, AT3G14410.1, AT3G17430.1, AT4G09810.1, AT4G32390.1, AT5G04160.1, AT5G05820.1, AT5G11230.1, AT5G17630.1, AT5G19980.1, AT5G25400.1, AT5G42420.1, AT5G55950.1, AT5G57100.1
Neprosin activation peptide (IPR025521)	2.6	8e-03	19	47	AT1G10190.1, AT1G23340.1, AT2G27320.1, AT2G35250.1, AT2G44240.1, AT3G48230.1, AT4G10210.1, AT4G10220.1, AT4G15050.1, AT4G15053.1, AT4G23350.1, AT4G23360.1, AT5G18460.1, AT5G19170.1, AT5G25410.1, AT5G46200.1, AT5G46810.1, AT5G46820.1, AT5G50150.1
Neprosin (IPR004314)	2.5	6e-03	21	54	AT1G10190.1, AT1G23340.1, AT2G27320.1, AT2G35250.1, AT2G44240.1, AT3G48230.1, AT4G10210.1, AT4G10220.1, AT4G15050.1, AT4G15053.1, AT4G17505.1, AT4G23080.1, AT4G23350.1, AT4G23360.1, AT5G18460.1, AT5G19170.1, AT5G25410.1, AT5G46200.1, AT5G46810.1, AT5G46820.1, AT5G50150.1
X8 domain (IPR012946)	2.5	5e-04	29	76	AT1G09460.1, AT1G11820.2, AT1G18650.1, AT1G26450.1, AT1G66852.1, AT1G66855.1, AT1G66870.1, AT2G19440.1, AT2G39640.1, AT3G07320.1, AT3G28250.1, AT3G58100.1, AT4G09090.1, AT4G09462.1, AT4G09464.1, AT4G09465.1, AT4G09466.1, AT4G09467.1, AT4G16165.1, AT4G17180.1, AT5G08000.1, AT5G35740.1, AT5G53610.1, AT5G56590.1, AT5G58090.1, AT5G58480.1, AT5G61130.1, AT5G63230.1, AT5G67460.1
PMR5 N-terminal domain (IPR025846)	2.4	8e-03	22	59	AT1G01430.1, AT1G60790.1, AT1G70230.1, AT1G73140.1, AT1G78710.1, AT2G30010.1, AT2G30900.1, AT2G31110.2, AT2G37720.1, AT2G38320.1, AT2G40150.1, AT2G40320.1, AT2G42570.1, AT3G54260.1, AT3G55990.1, AT3G62390.1, AT4G01080.1, AT4G23790.1, AT5G01360.1, AT5G06700.1, AT5G20590.1, AT5G64020.1
DYW domain (IPR032867)	2.4	2e-04	34	92	AT1G09410.1, AT1G11290.1, AT1G15510.1, AT1G18485.1, AT1G19720.1, AT1G31920.1, AT1G47580.1, AT1G56690.1, AT2G02980.1, AT2G15690.1, AT2G27610.1, AT2G29760.1, AT2G41080.1, AT3G03580.1, AT3G08820.1, AT3G14330.1, AT3G22690.2, AT3G23330.1, AT3G49170.1, AT3G49710.1, AT3G57430.1, AT3G62890.1, AT3G63370.1, AT4G01030.1, AT4G13650.1, AT4G16835.1, AT4G18750.1, AT4G33170.1, AT4G35130.1, AT5G03800.1, AT5G13270.1, AT5G48910.1, AT5G52850.1, AT5G66520.1
GDP-fucose protein O-fucosyltransferase (IPR019378)	2.4	4e-02	17	46	AT1G04910.1, AT1G14970.1, AT1G22460.1, AT1G38065.1, AT1G38131.1, AT1G51630.1, AT1G62330.1, AT1G76270.1, AT3G02250.1, AT3G21190.1, AT3G26370.1, AT3G30300.1, AT4G08810.1, AT4G16650.1, AT4G17430.1, AT5G50420.1, AT5G64600.1
Multicopper oxidase, type 3 (IPR011707)	2.4	7e-02	15	41	AT1G41830.1, AT1G76160.1, AT2G29130.1, AT4G12420.1, AT4G22010.1, AT4G25240.1, AT5G01190.1, AT5G03260.1, AT5G05390.1, AT5G09360.1, AT5G21100.1, AT5G48450.1, AT5G51480.1, AT5G60020.1, AT5G66920.1
PC-Esterase (IPR026057)	2.3	2e-02	22	62	AT1G01430.1, AT1G60790.1, AT1G70230.1, AT1G73140.1, AT1G78710.1, AT2G30010.1, AT2G30900.1, AT2G31110.2, AT2G37720.1, AT2G38320.1, AT2G40150.1, AT2G40320.1, AT2G42570.1, AT3G54260.1, AT3G55990.1, AT3G62390.1, AT4G01080.1, AT4G23790.1, AT5G01360.1, AT5G06700.1, AT5G20590.1, AT5G64020.1
Plant self-incompatibility S1 (IPR010264)	2.2	4e-02	21	63	AT1G04645.1, AT1G11765.1, AT1G51230.1, AT1G51250.1, AT2G06090.1, AT2G23148.1, AT3G16970.1, AT3G17080.1, AT3G24065.1, AT3G24068.1, AT3G27680.1, AT3G55252.1, AT3G55665.1, AT4G08560.1, AT4G10895.1, AT4G24974.1, AT5G04047.1, AT5G04347.1, AT5G06030.1, AT5G12060.1, AT5G27238.1
Xylanase inhibitor, C-terminal (IPR032799)	2.2	3e-02	23	69	AT1G01300.1, AT1G09750.1, AT1G25510.1, AT1G44130.1, AT1G64830.1, AT1G65240.1, AT1G66180.1, AT2G28010.1, AT2G28040.1, AT2G28220.1, AT3G20015.1, AT3G25700.1, AT3G50050.1, AT3G51330.1, AT3G51340.1, AT3G52500.1, AT3G54400.1, AT3G61820.1, AT4G35880.1, AT5G02190.1, AT5G10080.1, AT5G19120.1, AT5G33340.1
Xylanase inhibitor, N-terminal (IPR032861)	2.1	3e-02	23	70	AT1G01300.1, AT1G09750.1, AT1G25510.1, AT1G44130.1, AT1G64830.1, AT1G65240.1, AT1G66180.1, AT2G28010.1, AT2G28040.1, AT2G28220.1, AT3G20015.1, AT3G25700.1, AT3G50050.1, AT3G51330.1, AT3G51340.1, AT3G52500.1, AT3G54400.1, AT3G61820.1, AT4G35880.1, AT5G02190.1, AT5G10080.1, AT5G19120.1, AT5G33340.1
Peptidase S8 propeptide/proteinase inhibitor I9 (IPR010259)	2.1	6e-02	20	61	AT1G30600.1, AT2G04160.1, AT2G05920.1, AT2G19170.1, AT3G14240.1, AT3G46840.1, AT3G46850.1, AT4G15040.1, AT4G21630.1, AT4G21640.1, AT4G21650.1, AT4G26330.1, AT4G30020.1, AT4G34980.1, AT5G03620.1, AT5G44530.1, AT5G51750.1, AT5G58830.1, AT5G59810.1, AT5G67090.1
Peptidase S8, subtilisin-related (IPR015500)	2.1	7e-02	20	62	AT1G30600.1, AT2G04160.1, AT2G05920.1, AT2G19170.1, AT3G14240.1, AT3G46840.1, AT3G46850.1, AT4G15040.1, AT4G21630.1, AT4G21640.1, AT4G21650.1, AT4G26330.1, AT4G30020.1, AT4G34980.1, AT5G03620.1, AT5G44530.1, AT5G51750.1, AT5G58830.1, AT5G59810.1, AT5G67090.1
Subtilisin-like protease, fibronectin type-III domain (IPR041469)	2.1	7e-02	20	62	AT1G30600.1, AT2G04160.1, AT2G05920.1, AT2G19170.1, AT3G14240.1, AT3G46840.1, AT3G46850.1, AT4G15040.1, AT4G21630.1, AT4G21640.1, AT4G21650.1, AT4G26330.1, AT4G30020.1, AT4G34980.1, AT5G03620.1, AT5G44530.1, AT5G51750.1, AT5G58830.1, AT5G59810.1, AT5G67090.1
Pectinesterase inhibitor domain (IPR006501)	2.1	9e-04	40	125	AT1G02810.1, AT1G09370.1, AT1G11590.1, AT1G11593.1, AT1G14890.1, AT1G23205.1, AT1G48010.1, AT1G50325.1, AT1G53840.1, AT1G56620.1, AT2G15345.1, AT2G26440.1, AT2G47050.1, AT3G05741.1, AT3G10720.2, AT3G14310.1, AT3G17150.1, AT3G17152.1, AT3G17230.1, AT3G27999.1, AT3G43270.1, AT3G47380.1, AT3G47400.1, AT3G49220.1, AT3G49330.1, AT4G02300.1, AT4G02330.1, AT4G03930.1, AT4G03945.1, AT4G12390.1, AT4G15750.1, AT4G25260.1, AT4G33220.1, AT5G09760.1, AT5G20740.1, AT5G49180.1, AT5G50050.1, AT5G50070.1, AT5G62350.1, AT5G62360.1
Peptidase S8/S53 domain (IPR000209)	2.1	8e-02	20	63	AT1G30600.1, AT2G04160.1, AT2G05920.1, AT2G19170.1, AT3G14240.1, AT3G46840.1, AT3G46850.1, AT4G15040.1, AT4G21630.1, AT4G21640.1, AT4G21650.1, AT4G26330.1, AT4G30020.1, AT4G34980.1, AT5G03620.1, AT5G44530.1, AT5G51750.1, AT5G58830.1, AT5G59810.1, AT5G67090.1
Peptidase family A1 domain (IPR033121)	2	5e-02	24	78	AT1G01300.1, AT1G09750.1, AT1G25510.1, AT1G44130.1, AT1G64830.1, AT1G65240.1, AT1G66180.1, AT2G28010.1, AT2G28040.1, AT2G28220.1, AT3G20015.1, AT3G25700.1, AT3G50050.1, AT3G51330.1, AT3G51340.1, AT3G52500.1, AT3G54400.1, AT3G61820.1, AT4G22050.1, AT4G35880.1, AT5G02190.1, AT5G10080.1, AT5G19120.1, AT5G33340.1
Pentatricopeptide repeat (IPR002885)	1.9	6e-12	148	507	AT1G01970.1, AT1G02060.1, AT1G02150.1, AT1G08610.1, AT1G09410.1, AT1G09820.1, AT1G09900.1, AT1G10910.1, AT1G11290.1, AT1G12300.1, AT1G12700.1, AT1G12775.1, AT1G13800.1, AT1G15480.1, AT1G15510.1, AT1G17630.1, AT1G18485.1, AT1G19520.1, AT1G19720.1, AT1G26460.1, AT1G31430.1, AT1G31920.1, AT1G32415.1, AT1G50270.1, AT1G52640.1, AT1G56690.1, AT1G60770.1, AT1G61870.1, AT1G62670.1, AT1G62680.1, AT1G62910.1, AT1G63070.1, AT1G63080.1, AT1G63130.1, AT1G63150.1, AT1G63230.1, AT1G63320.1, AT1G63330.1, AT1G63400.1, AT1G63630.2, AT1G64580.1, AT1G71060.1, AT1G71460.1, AT1G74850.1, AT1G79080.1, AT1G79490.1, AT1G80880.1, AT2G02980.1, AT2G15690.1, AT2G15820.1, AT2G18520.1, AT2G18940.1, AT2G20540.1, AT2G21090.1, AT2G22410.1, AT2G27610.1, AT2G28050.1, AT2G29760.1, AT2G32230.1, AT2G32630.1, AT2G37230.1, AT2G40720.1, AT2G41080.1, AT2G41720.2, AT2G45350.1, AT3G02650.1, AT3G03580.1, AT3G04760.1, AT3G06430.1, AT3G07290.1, AT3G08820.1, AT3G09060.1, AT3G13150.1, AT3G13160.1, AT3G13880.1, AT3G14330.1, AT3G16010.1, AT3G18110.1, AT3G22150.1, AT3G22670.1, AT3G22690.2, AT3G23330.1, AT3G25210.1, AT3G25970.1, AT3G29230.1, AT3G46610.1, AT3G48250.1, AT3G49170.1, AT3G49710.1, AT3G49730.1, AT3G53170.1, AT3G57430.1, AT3G60050.1, AT3G62470.1, AT3G62540.1, AT3G62890.1, AT3G63370.1, AT4G01030.1, AT4G01570.1, AT4G02820.1, AT4G04370.1, AT4G13650.1, AT4G14170.1, AT4G16390.1, AT4G16835.1, AT4G18520.1, AT4G18750.1, AT4G20740.1, AT4G21170.1, AT4G21705.1, AT4G21880.1, AT4G25270.1, AT4G28010.1, AT4G30825.1, AT4G31850.1, AT4G33170.1, AT4G34830.1, AT4G35130.1, AT4G35850.1, AT4G36680.1, AT4G38010.1, AT4G39620.2, AT5G02830.1, AT5G03800.1, AT5G04810.1, AT5G10690.1, AT5G13270.1, AT5G14820.1, AT5G15010.1, AT5G15980.1, AT5G18475.1, AT5G19020.1, AT5G21222.1, AT5G28420.1, AT5G39710.1, AT5G39980.1, AT5G46580.1, AT5G48730.1, AT5G48910.1, AT5G50280.1, AT5G52850.1, AT5G55740.1, AT5G56310.1, AT5G59900.1, AT5G60960.1, AT5G61400.1, AT5G62370.1, AT5G66520.1
Leucine-rich repeat-containing N-terminal, plant-type (IPR013210)	1.8	2e-04	68	242	AT1G10850.1, AT1G12460.1, AT1G17750.1, AT1G25320.1, AT1G27190.1, AT1G28440.1, AT1G33610.1, AT1G49490.1, AT1G60800.1, AT1G62440.1, AT1G62950.1, AT1G66150.1, AT1G67510.1, AT1G71830.1, AT1G75640.1, AT1G79620.1, AT2G01950.1, AT2G20850.1, AT2G26330.1, AT2G26730.1, AT2G27060.1, AT2G35620.1, AT2G36570.1, AT2G45340.1, AT3G05370.1, AT3G12610.1, AT3G17640.1, AT3G20820.1, AT3G23750.1, AT3G24480.1, AT3G24660.1, AT3G28040.1, AT3G49670.1, AT3G51740.1, AT3G56100.1, AT3G56370.1, AT3G57830.1, AT4G03010.1, AT4G18640.1, AT4G18670.1, AT4G20940.1, AT4G22130.1, AT4G22730.1, AT4G23740.1, AT4G26540.1, AT4G29240.1, AT4G31250.1, AT4G34220.1, AT4G36180.1, AT4G39400.1, AT5G01890.1, AT5G06870.1, AT5G06940.1, AT5G07150.1, AT5G10020.1, AT5G16000.1, AT5G16590.1, AT5G20690.1, AT5G23400.1, AT5G35390.1, AT5G41180.1, AT5G45840.2, AT5G51350.1, AT5G51560.1, AT5G61480.1, AT5G62230.1, AT5G62710.1, AT5G67280.1
