IPR003958	Transcription factor CBF/NF-Y/archaeal histone domain
IPR017451	F-box associated interaction domain




IPR027923	Hydrophobic seed protein domain
IPR001119	S-layer homology domain
IPR000167	Dehydrin
IPR001563	Peptidase S10, serine carboxypeptidase
IPR001563	Peptidase S10, serine carboxypeptidase
IPR001563	Peptidase S10, serine carboxypeptidase
IPR001563	Peptidase S10, serine carboxypeptidase
IPR001563	Peptidase S10, serine carboxypeptidase
IPR000916	Bet v I/Major latex protein
IPR011442	TAF6, C-terminal HEAT repeat domain
IPR004823	TATA box binding protein associated factor (TAF)
IPR001902	SLC26A/SulP transporter
IPR011547	SLC26A/SulP transporter domain
IPR002645	STAS domain
IPR002645	STAS domain
IPR001398	Macrophage migration inhibitory factor
IPR000504	RNA recognition motif domain
IPR000504	RNA recognition motif domain
IPR000433	Zinc finger, ZZ-type
IPR001005	SANT/Myb domain
IPR000433	Zinc finger, ZZ-type
IPR017884	SANT domain
IPR007526	SWIRM domain
IPR023210	NADP-dependent oxidoreductase domain
IPR025150	Domain of unknown function DUF4091
IPR024438	Staygreen protein
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR001763	Rhodanese-like domain
IPR001763	Rhodanese-like domain
IPR001041	2Fe-2S ferredoxin-type iron-sulfur binding domain
IPR010241	Ferredoxin [2Fe-2S], plant
IPR001041	2Fe-2S ferredoxin-type iron-sulfur binding domain
IPR012417	Calmodulin-binding domain, plant
IPR033389	AUX/IAA domain
IPR000270	PB1 domain
IPR017930	Myb domain
IPR001005	SANT/Myb domain
IPR001005	SANT/Myb domain
IPR017930	Myb domain
IPR000743	Glycoside hydrolase, family 28
IPR007750	Protein of unknown function DUF674
IPR005630	Terpene synthase, metal-binding domain
IPR001906	Terpene synthase, N-terminal domain
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR032799	Xylanase inhibitor, C-terminal
IPR032861	Xylanase inhibitor, N-terminal
IPR001461	Aspartic peptidase A1 family
IPR001461	Aspartic peptidase A1 family
IPR001461	Aspartic peptidase A1 family
IPR033121	Peptidase family A1 domain
IPR001932	PPM-type phosphatase domain
IPR001932	PPM-type phosphatase domain
IPR000504	RNA recognition motif domain
IPR000504	RNA recognition motif domain
IPR000504	RNA recognition motif domain
IPR000504	RNA recognition motif domain
IPR019787	Zinc finger, PHD-finger
IPR019787	Zinc finger, PHD-finger
IPR032308	Jas TPL-binding domain
IPR001810	F-box domain
IPR001810	F-box domain
IPR005484	Ribosomal protein L18
IPR001810	F-box domain
IPR001810	F-box domain
IPR013101	Leucine-rich repeat 2
IPR003822	Paired amphipathic helix
IPR003822	Paired amphipathic helix
IPR003822	Paired amphipathic helix
IPR003822	Paired amphipathic helix
IPR016092	FeS cluster insertion protein
IPR000361	FeS cluster biogenesis
IPR002016	Haem peroxidase
IPR002016	Haem peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR000823	Plant peroxidase
IPR002016	Haem peroxidase
IPR002016	Haem peroxidase
IPR002016	Haem peroxidase
IPR002016	Haem peroxidase
IPR002016	Haem peroxidase
IPR025521	Neprosin activation peptide
IPR004314	Neprosin
IPR013650	ATP-grasp fold, succinyl-CoA synthetase-type
IPR032263	ATP-citrate synthase, citrate-binding domain
IPR013650	ATP-grasp fold, succinyl-CoA synthetase-type
IPR032263	ATP-citrate synthase, citrate-binding domain
IPR013650	ATP-grasp fold, succinyl-CoA synthetase-type
IPR032263	ATP-citrate synthase, citrate-binding domain
IPR008797	Oxygen-evolving enhancer protein 3
IPR013087	Zinc finger C2H2-type
IPR008480	Protein of unknown function DUF761, plant
IPR005818	Linker histone H1/H5, domain H15
IPR005818	Linker histone H1/H5, domain H15
IPR002318	Alanine-tRNA ligase, class IIc
IPR018164	Alanyl-tRNA synthetase, class IIc, N-terminal
IPR012947	Threonyl/alanyl tRNA synthetase, SAD
IPR002318	Alanine-tRNA ligase, class IIc
IPR002318	Alanine-tRNA ligase, class IIc
IPR002318	Alanine-tRNA ligase, class IIc
IPR002318	Alanine-tRNA ligase, class IIc
IPR002318	Alanine-tRNA ligase, class IIc
IPR018165	Alanyl-tRNA synthetase, class IIc, core domain
IPR003156	DHHA1 domain
IPR002022	Pectate lyase
IPR018082	AmbAllergen
IPR018082	AmbAllergen
IPR018082	AmbAllergen
IPR018082	AmbAllergen
IPR018082	AmbAllergen
IPR002108	Actin-depolymerising factor homology domain
IPR002108	Actin-depolymerising factor homology domain
IPR007373	Thiamin pyrophosphokinase, thiamin-binding domain
IPR007371	Thiamin pyrophosphokinase, catalytic domain
IPR006282	Thiamin pyrophosphokinase
IPR006566	FBD domain
IPR013101	Leucine-rich repeat 2
IPR000453	Chorismate synthase
IPR000453	Chorismate synthase


IPR000961	AGC-kinase, C-terminal
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR000719	Protein kinase domain
IPR003245	Phytocyanin domain
IPR003245	Phytocyanin domain
IPR000210	BTB/POZ domain
IPR027356	NPH3 domain
IPR027356	NPH3 domain
IPR007855	RNA-dependent RNA polymerase, eukaryotic-type
IPR018957	Zinc finger, C3HC4 RING-type
IPR001841	Zinc finger, RING-type

IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR027329	TPX2, C-terminal
IPR025287	Wall-associated receptor kinase, galacturonan-binding domain
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR007117	Expansin, cellulose-binding-like domain
IPR007112	Expansin/pollen allergen, DPBB domain
IPR007118	Expansin/Lol pI
IPR007118	Expansin/Lol pI
IPR007118	Expansin/Lol pI
IPR007118	Expansin/Lol pI
IPR007118	Expansin/Lol pI
IPR007118	Expansin/Lol pI
IPR009009	RlpA-like protein, double-psi beta-barrel domain
IPR002963	Expansin
IPR002963	Expansin
IPR002963	Expansin
IPR002963	Expansin
IPR002963	Expansin
IPR002963	Expansin
IPR002963	Expansin
IPR002963	Expansin
IPR002963	Expansin
IPR007117	Expansin, cellulose-binding-like domain
IPR011709	Domain of unknown function DUF1605
IPR011545	DEAD/DEAH box helicase domain
IPR014001	Helicase superfamily 1/2, ATP-binding domain
IPR020683	Ankyrin repeat-containing domain
IPR007502	Helicase-associated domain
IPR001650	Helicase, C-terminal
IPR001374	R3H domain
IPR001374	R3H domain
IPR001650	Helicase, C-terminal
IPR013201	Cathepsin propeptide inhibitor domain (I29)
IPR000668	Peptidase C1A, papain C-terminal
IPR025753	AAA-type ATPase, N-terminal domain
IPR003959	ATPase, AAA-type, core
IPR003441	NAC domain
IPR003441	NAC domain
IPR003441	NAC domain
IPR003441	NAC domain
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR000719	Protein kinase domain
IPR002083	MATH/TRAF domain
IPR002083	MATH/TRAF domain
IPR002083	MATH/TRAF domain
IPR002083	MATH/TRAF domain
IPR007608	Senescence regulator S40
IPR001024	PLAT/LH2 domain
IPR001024	PLAT/LH2 domain
IPR032799	Xylanase inhibitor, C-terminal
IPR032861	Xylanase inhibitor, N-terminal
IPR033121	Peptidase family A1 domain
IPR011710	Coatomer beta subunit, C-terminal
IPR002553	Clathrin/coatomer adaptor, adaptin-like, N-terminal
IPR029446	Coatomer beta subunit, appendage platform domain
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR000719	Protein kinase domain
IPR024788	Malectin-like domain
IPR001611	Leucine-rich repeat
IPR000719	Protein kinase domain

IPR016140	Bifunctional inhibitor/plant lipid transfer protein/seed storage helical domain
IPR001245	Serine-threonine/tyrosine-protein kinase, catalytic domain
IPR002902	Gnk2-homologous domain
IPR002902	Gnk2-homologous domain
IPR000719	Protein kinase domain
IPR002902	Gnk2-homologous domain
IPR002902	Gnk2-homologous domain
IPR004360	Glyoxalase/fosfomycin resistance/dioxygenase domain
IPR001841	Zinc finger, RING-type
IPR001841	Zinc finger, RING-type
IPR001938	Thaumatin family
IPR001938	Thaumatin family
IPR001938	Thaumatin family
IPR001938	Thaumatin family
IPR001938	Thaumatin family
IPR001938	Thaumatin family
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR002100	Transcription factor, MADS-box
IPR006569	CID domain




IPR000313	PWWP domain
IPR000313	PWWP domain
IPR006903	RNA polymerase II-binding domain
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR011598	Myc-type, basic helix-loop-helix (bHLH) domain
IPR025610	Transcription factor MYC/MYB N-terminal


IPR019734	Tetratricopeptide repeat
IPR019734	Tetratricopeptide repeat
IPR013026	Tetratricopeptide repeat-containing domain
IPR019734	Tetratricopeptide repeat
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR002048	EF-hand domain
IPR032706	Transcription elongation factor Spt6, helix-hairpin-helix motif
IPR041692	HHH domain 9
IPR035420	Spt6, SH2 domain
IPR028231	Transcription elongation factor Spt6, YqgF domain
IPR003029	S1 domain
IPR002213	UDP-glucuronosyl/UDP-glucosyltransferase
IPR003323	OTU domain
IPR003323	OTU domain
IPR003323	OTU domain
IPR003323	OTU domain
IPR015418	Chromatin modification-related protein Eaf6
IPR002504	NAD kinase
IPR003882	Pistil-specific extensin-like protein
IPR003882	Pistil-specific extensin-like protein
IPR001087	GDSL lipase/esterase
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR000007	Tubby, C-terminal
IPR022051	Protein of unknown function DUF3611
IPR028939	Pyrroline-5-carboxylate reductase, catalytic, N-terminal
IPR029036	Pyrroline-5-carboxylate reductase, dimerisation domain
IPR000304	Pyrroline-5-carboxylate reductase
IPR019734	Tetratricopeptide repeat
IPR033646	CLU central domain
IPR028275	Clustered mitochondria protein, N-terminal
IPR025697	CLU domain
IPR013026	Tetratricopeptide repeat-containing domain
IPR019734	Tetratricopeptide repeat
IPR019734	Tetratricopeptide repeat


IPR041469	Subtilisin-like protease, fibronectin type-III domain
IPR001680	WD40 repeat
IPR017986	WD40-repeat-containing domain
IPR001680	WD40 repeat
IPR013877	YAP-binding/ALF4/Glomulin
IPR013877	YAP-binding/ALF4/Glomulin
IPR023210	NADP-dependent oxidoreductase domain
IPR001563	Peptidase S10, serine carboxypeptidase
IPR001563	Peptidase S10, serine carboxypeptidase
IPR001563	Peptidase S10, serine carboxypeptidase
IPR001563	Peptidase S10, serine carboxypeptidase
IPR001563	Peptidase S10, serine carboxypeptidase
IPR000225	Armadillo
IPR000225	Armadillo
IPR000225	Armadillo
IPR000225	Armadillo
IPR007750	Protein of unknown function DUF674
IPR018121	Seven-in-absentia protein, TRAF-like domain
IPR013010	Zinc finger, SIAH-type
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR001075	NIF system FeS cluster assembly, NifU, C-terminal
IPR014824	Scaffold protein Nfu/NifU, N-terminal
IPR008901	Alkaline ceramidase
IPR003245	Phytocyanin domain
IPR003245	Phytocyanin domain
IPR001810	F-box domain
IPR001810	F-box domain
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR002347	Short-chain dehydrogenase/reductase SDR
IPR012429	Domain of unknown function DUF1624
IPR003337	Trehalose-phosphatase
IPR003337	Trehalose-phosphatase
IPR001830	Glycosyl transferase, family 20
IPR006379	HAD-superfamily hydrolase, subfamily IIB
IPR001017	Dehydrogenase, E1 component
IPR017597	Pyruvate dehydrogenase (acetyl-transferring) E1 component, alpha subunit, subgroup y
IPR013729	Multiprotein bridging factor 1, N-terminal
IPR001387	Cro/C1-type helix-turn-helix domain
IPR001387	Cro/C1-type helix-turn-helix domain
IPR003676	Small auxin-up RNA
IPR008511	Protein BYPASS-related
IPR004143	Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain
IPR004143	Biotinyl protein ligase (BPL) and lipoyl protein ligase (LPL), catalytic domain
IPR000544	Octanoyltransferase
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR000717	Proteasome component (PCI) domain
IPR005691	Chloroplast protein import component Tic20
IPR005691	Chloroplast protein import component Tic20
IPR013025	Ribosomal protein L25/L23
IPR005349	TMEM14 family
IPR004265	Dirigent protein
IPR004265	Dirigent protein
IPR000620	EamA domain
IPR000620	EamA domain
IPR001841	Zinc finger, RING-type
IPR001841	Zinc finger, RING-type
IPR016137	RGS domain
IPR016137	RGS domain
IPR013126	Heat shock protein 70 family





IPR001611	Leucine-rich repeat
IPR002182	NB-ARC




IPR001611	Leucine-rich repeat
IPR041118	Rx, N-terminal
IPR005178	Organic solute transporter subunit alpha/Transmembrane protein 184
IPR004146	DC1
IPR004146	DC1
IPR004146	DC1
IPR032881	Oberon, PHD finger domain
IPR003961	Fibronectin type III
IPR003961	Fibronectin type III
IPR024340	Sec16, central conserved domain
IPR024298	Ancestral coatomer element 1, Sec16/Sec31
IPR001680	WD40 repeat
IPR012972	NLE
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR001680	WD40 repeat
IPR017986	WD40-repeat-containing domain
IPR001680	WD40 repeat
IPR020472	G-protein beta WD-40 repeat
IPR020472	G-protein beta WD-40 repeat
IPR020472	G-protein beta WD-40 repeat
IPR006963	Molybdopterin oxidoreductase, 4Fe-4S domain
IPR001041	2Fe-2S ferredoxin-type iron-sulfur binding domain

IPR019574	NADH:ubiquinone oxidoreductase, subunit G, iron-sulphur binding
IPR015405	NADH-quinone oxidoreductase, chain G, C-terminal
IPR019574	NADH:ubiquinone oxidoreductase, subunit G, iron-sulphur binding
IPR006656	Molybdopterin oxidoreductase
IPR010228	NADH:ubiquinone oxidoreductase, subunit G
IPR007612	LURP-one-related
IPR003103	BAG domain
IPR003103	BAG domain
IPR000048	IQ motif, EF-hand binding site
IPR000644	CBS domain
IPR000644	CBS domain
IPR000644	CBS domain
IPR017923	Transcription factor IIS, N-terminal
IPR017923	Transcription factor IIS, N-terminal
IPR005202	Transcription factor GRAS
IPR005202	Transcription factor GRAS
IPR000092	Polyprenyl synthetase

IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR002885	Pentatricopeptide repeat
IPR018094	Thymidylate kinase
IPR039430	Thymidylate kinase-like domain
IPR008468	DNA methyltransferase 1-associated 1
IPR032563	DAMP1, SANT/Myb-like domain
IPR025322	Protein of unknown function DUF4228, plant
IPR001764	Glycoside hydrolase, family 3, N-terminal
IPR002772	Glycoside hydrolase family 3 C-terminal domain
IPR001764	Glycoside hydrolase, family 3, N-terminal
IPR001764	Glycoside hydrolase, family 3, N-terminal
IPR001764	Glycoside hydrolase, family 3, N-terminal
IPR026891	Fibronectin type III-like domain
IPR013108	Amidohydrolase 3
IPR000719	Protein kinase domain
IPR018451	NAF/FISL domain
IPR000719	Protein kinase domain
IPR004041	NAF domain
IPR000719	Protein kinase domain
IPR000719	Protein kinase domain
IPR001388	Synaptobrevin
IPR042855	v-SNARE, coiled-coil homology domain
IPR005066	Moybdenum cofactor oxidoreductase, dimerisation
IPR008333	Flavoprotein pyridine nucleotide cytochrome reductase-like, FAD-binding domain
IPR001834	NADH:cytochrome b5 reductase-like
IPR001834	NADH:cytochrome b5 reductase-like
IPR001834	NADH:cytochrome b5 reductase-like
IPR001834	NADH:cytochrome b5 reductase-like
IPR001834	NADH:cytochrome b5 reductase-like
IPR001834	NADH:cytochrome b5 reductase-like
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001709	Flavoprotein pyridine nucleotide cytochrome reductase
IPR001199	Cytochrome b5-like heme/steroid binding domain
IPR008335	Eukaryotic molybdopterin oxidoreductase
IPR008335	Eukaryotic molybdopterin oxidoreductase
IPR008335	Eukaryotic molybdopterin oxidoreductase
IPR008335	Eukaryotic molybdopterin oxidoreductase
IPR008335	Eukaryotic molybdopterin oxidoreductase
IPR008335	Eukaryotic molybdopterin oxidoreductase
IPR008335	Eukaryotic molybdopterin oxidoreductase
IPR008335	Eukaryotic molybdopterin oxidoreductase
